#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-9249.442221843743	0.0	0.0	1165.8132503742293	0.0	-10415.334960388318	-9858.719047543022	17.677771644017092	-45709.67235725637	45135.37032650917	-0.41985651576563454	-654.2	-0.46472	-47.105	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
3000	-9251.826866954112	0.0	0.0	1163.6074536471378	0.0	-10415.334960388318	-9858.719047543022	17.691284632975854	-45709.67235725637	45135.37032650917	-0.3381029325651508	-493.79	-0.34953	-46.657	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1.0046
5500	-8736.743523114408	0.0	0.0	1026.7089522693711	0.0	-9763.531963554125	-9217.646953705489	28.532278745565037	-45709.67235725637	45135.37032650917	-0.09969207604323452	-27.622	-0.019552	-43.259	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1.0046
6000	-8740.320490779963	0.0	0.0	1023.390321157441	0.0	-9763.73068397999	-9217.646953705489	28.502470681685423	-45709.67235725637	45135.37032650917	-0.13329967446536822	-94.694	-0.06703	-43.399	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1.0046
8500	-8326.385843705077	0.0	0.0	863.5396105923726	0.0	-9190.024814510381	-8648.312933604891	32.717330914262625	-45709.67235725637	45135.37032650917	-0.20150251182618018	-239.06	-0.16922	-41.616	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1.0046
9000	-8328.174327537854	0.0	0.0	861.4530461207997	0.0	-9189.627373658654	-8648.114213179028	32.78887026757369	-45709.67235725637	45135.37032650917	-0.21783733083220777	-271.67	-0.1923	-41.684	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1.0046
11500	-8084.741805854353	0.0	0.0	764.0999094899855	0.0	-8848.821843301752	-8312.077973042864	37.54027564998392	-45709.67235725637	45135.37032650917	-0.3259412425022689	-492.41	-0.34855	-40.883	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1.0046
12000	-8074.4083437094205	0.0	0.0	774.5128598052635	0.0	-8849.020563727616	-8312.077973042864	37.512454790362945	-45709.67235725637	45135.37032650917	-0.35497429672101144	-548.1	-0.38935	-41.079	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
14500	-8084.543085428489	0.0	0.0	799.0150883143049	0.0	-8883.399197402103	-8349.039972253582	39.944792802939325	-45709.67235725637	45135.37032650917	-0.21612833516977667	-271.49	-0.19286	-40.622	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
15000	-8076.9917092456535	0.0	0.0	806.467104284208	0.0	-8883.399197402103	-8349.039972253582	40.008383339215825	-45707.68515299773	45133.38312225053	-0.2664046029133897	-369.84	-0.26366	-40.91	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	0.99219
17500	-8051.356774309186	0.0	0.0	829.5981618547872	0.0	-8881.014552291734	-8341.488596070747	34.8774219434052	-45707.68515299773	45133.38312225053	-0.13554918968614965	-110.79	-0.078983	-40.307	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	0.99219
18000	-8049.965731328138	0.0	0.0	834.4270682032844	0.0	-8884.392799531422	-8344.866843310438	34.98671817763045	-45707.68515299773	45133.38312225053	-0.12390814713903167	-87.729	-0.062543	-40.257	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	0.99219
20500	-8081.760999466391	0.0	0.0	849.5695646541276	0.0	-8931.290820035347	-8390.969982110904	34.07459142291431	-45707.68515299773	45133.38312225053	0.009612703160323286	177.74	0.12671	-39.928	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	0.99219
21000	-8079.376354356022	0.0	0.0	852.2324183607063	0.0	-8931.48954046121	-8391.168702536768	34.09048905698344	-45707.68515299773	45133.38312225053	0.042889829514245026	243.7	0.17374	-39.795	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	0.99219
23500	-7940.0733358253	0.0	0.0	755.1177462409289	0.0	-8695.210954108816	-8156.6786000171505	35.84320321310465	-45707.68515299773	45133.38312225053	-0.277274610208155	-394.08	-0.28094	-40.274	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	0.99219
24000	-7947.0285507305425	0.0	0.0	758.5357375657912	0.0	-8705.544416253748	-8166.217180458626	35.75775342998309	-45763.326872239675	45189.02484149247	-0.2535871354451563	-347.58	-0.2475	-40.174	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	0.99336
26500	-8025.920559798584	0.0	0.0	815.4095234480917	0.0	-8841.46918754478	-8304.924037711757	38.54182659633889	-45763.326872239675	45189.02484149247	-0.13643945719402076	-113.38	-0.080733	-40.138	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	0.99336
27000	-8025.920559798584	0.0	0.0	815.4095234480917	0.0	-8841.46918754478	-8304.924037711757	38.53785218782161	-45763.326872239675	45189.02484149247	-0.14069008710325348	-121.82	-0.086743	-40.153	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	0.99336
29500	-8105.408730144217	0.0	0.0	789.0591949785144	0.0	-8894.328820824627	-8350.431015234632	31.19513245214375	-45763.326872239675	45189.02484149247	-0.4424709002289672	-719.58	-0.51239	-41.645	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	0.99336
30000	-8107.594654828722	0.0	0.0	786.7739100810774	0.0	-8894.328820824627	-8350.431015234632	31.207055677695593	-45763.326872239675	45189.02484149247	-0.45353962794959657	-741.51	-0.528	-41.696	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	0.99336
32500	-8031.484731722778	0.0	0.0	763.9011890641215	0.0	-8795.366048744314	-8261.205544021657	40.9463437492943	-45763.326872239675	45189.02484149247	-0.4154250502688655	-667.32	-0.47517	-41.182	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	0.99336
33000	-8040.228430460797	0.0	0.0	765.3121040877564	0.0	-8805.500790463382	-8270.942844888998	41.14307697089974	-45818.968591481615	45242.679356475775	-0.40684032787153707	-651.06	-0.46305	-41.146	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	0.99452
35500	-8044.004118552215	0.0	0.0	762.6691224237641	0.0	-8806.693113018566	-8263.590189132026	32.69944607593486	-45818.968591481615	45242.679356475775	-0.35515314510428914	-548.21	-0.38989	-40.976	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	0.99452
