#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
NAMD	0	-10135.3201	-11345.9019	-10135.3456	-12.7887	25630.6257	0.9984118649947746
NAMD	0	-10135.3201	-11345.9019	-10135.3456	-4541.6018	25630.6257	0.9984118649947746
NAMD	2500	-9244.8828	-10415.2203	-9249.381800000001	-968.0076	25630.6257	0.9984118649947746
GOMC	2500	-9249.442221843743	-10415.334960388318	-9249.521710014089	-654.2	25630.6257	0.99841
GOMC	3000	-9251.826866954112	-10415.334960388318	-9251.72750674118	-493.79	25630.6257	1.0046
NAMD	3000	-9247.2756	-10415.2809	-9251.658	-830.9336	25630.6257	1.0046249714184698
NAMD	5500	-8731.3560	-9763.3428	-8736.6076	-375.6726	25630.6257	1.0046249714184698
GOMC	5500	-8736.743523114408	-9763.531963554125	-8736.823011284754	-27.622	25630.6257	1.0046
GOMC	6000	-8740.320490779963	-9763.73068397999	-8740.340362822548	-94.694	25630.6257	1.0046
NAMD	6000	-8735.2532	-9763.4865	-8740.0696	-407.6974	25630.6257	1.0046249714184698
NAMD	8500	-8317.4434	-9189.8117	-8326.262200000001	-261.5271	25630.6257	1.0046249714184698
GOMC	8500	-8326.385843705077	-9190.024814510381	-8326.48520391801	-239.06	25630.6257	1.0046
GOMC	9000	-8328.174327537854	-9189.627373658654	-8328.174327537854	-271.67	25630.6257	1.0046
NAMD	9000	-8319.3997	-9189.4846	-8328.023299999999	-321.7286	25630.6257	1.0046249714184698
NAMD	11500	-8076.9686	-8848.4178	-8084.300499999999	-481.4656	25630.6257	1.0046249714184698
GOMC	11500	-8084.741805854353	-8848.821843301752	-8084.721933811767	-492.41	25630.6257	1.0046
GOMC	12000	-8074.4083437094205	-8849.020563727616	-8074.507703922352	-548.1	25630.6257	0.99841
NAMD	12000	-8069.2246	-8848.5048	-8073.9656	-619.3274	25630.6257	0.9984118649947746
NAMD	14500	-8079.7000	-8883.3693	-8084.3458	-170.4121	25630.6257	0.9984118649947746
GOMC	14500	-8084.543085428489	-8883.399197402103	-8084.384109087798	-271.49	25630.6257	0.99841
GOMC	15000	-8076.9917092456535	-8883.399197402103	-8076.9320931178945	-369.84	25630.6257	0.99219
NAMD	15000	-8072.9865	-8883.2480	-8076.759499999999	-258.5693	25630.6257	0.9921922798365395
NAMD	17500	-8050.0956	-8881.0787	-8051.4648	-55.9631	25630.6257	0.9921922798365395
GOMC	17500	-8051.356774309186	-8881.014552291734	-8051.416390436946	-110.79	25630.6257	0.99219
GOMC	18000	-8049.965731328138	-8884.392799531422	-8049.965731328138	-87.729	25630.6257	0.99219
NAMD	18000	-8048.7901	-8884.3883	-8049.938400000001	-4.7991	25630.6257	0.9921922798365395
NAMD	20500	-8079.6057	-8930.9648	-8081.3692	104.7537	25630.6257	0.9921922798365395
GOMC	20500	-8081.760999466391	-8931.290820035347	-8081.721255381219	177.74	25630.6257	0.99219
GOMC	21000	-8079.376354356022	-8931.48954046121	-8079.257122100505	243.7	25630.6257	0.99219
NAMD	21000	-8077.3054	-8931.2412	-8078.9849	150.8630	25630.6257	0.9921922798365395
