#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-4654500.0	0.0	0.0	586660.0	0.0	-5241200.0	-4961100.0	8895.8	-23002000.0	22713000.0	-211.28	-654.2	-0.46472	-47.105	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
3000	-4655700.0	0.0	0.0	585550.0	0.0	-5241200.0	-4961100.0	8902.6	-23002000.0	22713000.0	-170.14	-493.79	-0.34953	-46.657	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1004.6
5500	-4396500.0	0.0	0.0	516660.0	0.0	-4913200.0	-4638500.0	14358.0	-23002000.0	22713000.0	-50.167	-27.622	-0.019552	-43.259	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1004.6
6000	-4398300.0	0.0	0.0	514990.0	0.0	-4913300.0	-4638500.0	14343.0	-23002000.0	22713000.0	-67.079	-94.694	-0.06703	-43.399	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1004.6
8500	-4190000.0	0.0	0.0	434550.0	0.0	-4624600.0	-4352000.0	16464.0	-23002000.0	22713000.0	-101.4	-239.06	-0.16922	-41.616	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1004.6
9000	-4190900.0	0.0	0.0	433500.0	0.0	-4624400.0	-4351900.0	16500.0	-23002000.0	22713000.0	-109.62	-271.67	-0.1923	-41.684	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1004.6
11500	-4068400.0	0.0	0.0	384510.0	0.0	-4452900.0	-4182800.0	18891.0	-23002000.0	22713000.0	-164.02	-492.41	-0.34855	-40.883	846.0	0.977541371	0.0224586288	0.0322660871	0.000741300671	1004.6
12000	-4063200.0	0.0	0.0	389750.0	0.0	-4453000.0	-4182800.0	18877.0	-23002000.0	22713000.0	-178.63	-548.1	-0.38935	-41.079	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
14500	-4068300.0	0.0	0.0	402080.0	0.0	-4470300.0	-4201400.0	20101.0	-23002000.0	22713000.0	-108.76	-271.49	-0.19286	-40.622	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
15000	-4064500.0	0.0	0.0	405830.0	0.0	-4470300.0	-4201400.0	20133.0	-23001000.0	22712000.0	-134.06	-369.84	-0.26366	-40.91	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
17500	-4051600.0	0.0	0.0	417470.0	0.0	-4469100.0	-4197600.0	17551.0	-23001000.0	22712000.0	-68.211	-110.79	-0.078983	-40.307	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
18000	-4050900.0	0.0	0.0	419900.0	0.0	-4470800.0	-4199300.0	17606.0	-23001000.0	22712000.0	-62.353	-87.729	-0.062543	-40.257	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
20500	-4066900.0	0.0	0.0	427520.0	0.0	-4494400.0	-4222500.0	17147.0	-23001000.0	22712000.0	4.8373	177.74	0.12671	-39.928	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
21000	-4065700.0	0.0	0.0	428860.0	0.0	-4494500.0	-4222600.0	17155.0	-23001000.0	22712000.0	21.583	243.7	0.17374	-39.795	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
23500	-3995600.0	0.0	0.0	379990.0	0.0	-4375600.0	-4104600.0	18037.0	-23001000.0	22712000.0	-139.53	-394.08	-0.28094	-40.274	840.0	0.98452381	0.0154761905	0.0322660871	0.000507205722	992.19
24000	-3999100.0	0.0	0.0	381710.0	0.0	-4380800.0	-4109400.0	17994.0	-23029000.0	22740000.0	-127.61	-347.58	-0.2475	-40.174	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	993.36
26500	-4038800.0	0.0	0.0	410330.0	0.0	-4449200.0	-4179200.0	19395.0	-23029000.0	22740000.0	-68.659	-113.38	-0.080733	-40.138	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	993.36
27000	-4038800.0	0.0	0.0	410330.0	0.0	-4449200.0	-4179200.0	19393.0	-23029000.0	22740000.0	-70.798	-121.82	-0.086743	-40.153	841.0	0.984542212	0.0154577883	0.0323051029	0.000507205722	993.36
