#STEP MOLFRAC_DIOX
2500 0.0189798339
3000 0.0236127509
5500 0.0236127509
6000 0.0259128386
8500 0.0259128386
9000 0.0212514758
11500 0.0212514758
12000 0.0212514758
14500 0.0212514758
15000 0.0200945626
17500 0.0200945626
18000 0.0200708383
20500 0.0200708383
21000 0.0165876777
23500 0.0165876777
24000 0.0153846154
26500 0.0153846154
27000 0.0165484634
29500 0.0165484634
30000 0.0118764846
32500 0.0118764846
33000 0.0118764846
35500 0.0118764846
36000 0.0107015458
38500 0.0107015458
39000 0.0107142857
41500 0.0107142857
42000 0.0130486358
44500 0.0130486358
45000 0.0118764846
47500 0.0118764846
48000 0.0118764846
50500 0.0118764846
51000 0.00950118765
53500 0.00950118765
54000 0.00831353919
56500 0.00831353919
57000 0.0106761566
59500 0.0106761566
60000 0.00951248514
62500 0.00951248514
63000 0.0118483412
65500 0.0118483412
66000 0.0141843972
68500 0.0141843972
69000 0.0130023641
71500 0.0130023641
72000 0.0153301887
74500 0.0153301887
75000 0.016509434
77500 0.016509434
78000 0.0176678445
80500 0.0176678445
81000 0.0188235294
83500 0.0188235294
84000 0.0177095632
86500 0.0177095632
87000 0.0165680473
89500 0.0165680473
90000 0.0177304965
92500 0.0177304965
93000 0.0188902007
95500 0.0188902007
96000 0.0177514793
98500 0.0177514793
99000 0.0142348754
101500 0.0142348754
102000 0.0154028436
104500 0.0154028436
105000 0.0165484634
107500 0.0165484634
108000 0.0200471698
110500 0.0200471698
111000 0.0165680473
113500 0.0165680473
114000 0.0165876777
116500 0.0165876777
117000 0.0154394299
119500 0.0154394299
120000 0.0154394299
122500 0.0154394299
123000 0.0153846154
125500 0.0153846154
126000 0.0142180095
128500 0.0142180095
129000 0.013064133
131500 0.013064133
132000 0.013064133
134500 0.013064133
135000 0.013064133
137500 0.013064133
138000 0.0154028436
140500 0.0154028436
141000 0.0165680473
143500 0.0165680473
144000 0.0165680473
146500 0.0165680473
147000 0.0154028436
149500 0.0154028436
150000 0.0142348754
152500 0.0142348754
153000 0.0165680473
155500 0.0165680473
156000 0.0142011834
158500 0.0142011834
159000 0.0142011834
161500 0.0142011834
162000 0.0118623962
164500 0.0118623962
165000 0.0142180095
167500 0.0142180095
168000 0.0130486358
170500 0.0130486358
171000 0.016509434
173500 0.016509434
174000 0.016509434
176500 0.016509434
177000 0.0153301887
179500 0.0153301887
180000 0.0130023641
182500 0.0130023641
183000 0.0130023641
185500 0.0130023641
186000 0.0106508876
188500 0.0106508876
189000 0.0106635071
191500 0.0106635071
192000 0.012987013
194500 0.012987013
195000 0.0141342756
197500 0.0141342756
198000 0.0106382979
200500 0.0106382979
201000 0.0129716981
203500 0.0129716981
204000 0.0117924528
206500 0.0117924528
207000 0.0141176471
209500 0.0141176471
210000 0.0129564193
212500 0.0129564193
213000 0.0129564193
215500 0.0129564193
216000 0.00944510035
218500 0.00944510035
219000 0.0117647059
221500 0.0117647059
222000 0.0129259694
224500 0.0129259694
225000 0.0129411765
227500 0.0129411765
228000 0.011778563
230500 0.011778563
231000 0.0106257379
233500 0.0106257379
234000 0.0129411765
236500 0.0129411765
237000 0.0129411765
239500 0.0129411765
240000 0.0129411765
242500 0.0129411765
243000 0.0117647059
245500 0.0117647059
246000 0.0129411765
248500 0.0129411765
249000 0.0175233645
251500 0.0175233645
252000 0.0163551402
254500 0.0163551402
255000 0.0151869159
257500 0.0151869159
