#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
NAMD	0	-10144.7511	-11367.9087	-10144.7536	-12.2755	25630.6257	0.9984118649947746
NAMD	0	-10144.7511	-11367.9087	-10144.7536	-4464.2926	25630.6257	0.9984118649947746
NAMD	2500	-9214.4712	-10414.8657	-9217.0291	-534.6699	25630.6257	0.9984118649947746
GOMC	2500	-9216.852072002033	-10414.738799110726	-9216.93156017238	-202.52	25630.6257	0.99841
GOMC	3000	-9228.377856702149	-10414.341358258996	-9228.417600787321	-124.46	25630.6257	1.0067000000000002
NAMD	3000	-9226.3579	-10414.5738	-9228.6353	-450.8473	25630.6257	1.006698166471215
NAMD	5500	-8745.3926	-9764.6866	-8751.4719	-402.8094	25630.6257	1.006698166471215
GOMC	5500	-8751.647555054215	-9764.72428610931	-8751.528322798695	-250.49	25630.6257	1.0067000000000002
GOMC	6000	-8756.019404423225	-9764.72428610931	-8756.03927646581	-178.79	25630.6257	1.0108
NAMD	6000	-8749.8295	-9764.6099	-8755.9087	-336.6718	25630.6257	1.010844556576705
NAMD	8500	-8405.2041	-9335.1356	-8412.172499999999	137.8409	25630.6257	1.010844556576705
GOMC	8500	-8412.23306767836	-9335.090725391163	-8412.153579508016	264.88	25630.6257	1.0108
GOMC	9000	-8414.816433214593	-9355.757649681027	-8414.796561172008	300.48	25630.6257	1.0049
NAMD	9000	-8411.1977	-9355.7832	-8414.800799999999	217.8686	25630.6257	1.004890599534603
NAMD	11500	-8245.9382	-9078.4680	-8249.4187	-456.9454	25630.6257	1.004890599534603
GOMC	11500	-8249.679759321541	-9078.741376026495	-8249.719503406714	-358.1	25630.6257	1.0049
GOMC	12000	-8249.08359804395	-9079.138816878223	-8249.222702342053	-336.49	25630.6257	1.0049
NAMD	12000	-8245.9917	-9078.8382	-8248.8977	-400.9332	25630.6257	1.004890599534603
NAMD	14500	-8096.2145	-8926.7145	-8101.3672	185.5381	25630.6257	1.004890599534603
GOMC	14500	-8101.633042052799	-8926.918970666336	-8101.593297967627	212.99	25630.6257	1.0049
GOMC	15000	-8101.0368807752075	-8926.918970666336	-8101.056752817794	136.13	25630.6257	1.0028
NAMD	15000	-8097.0858	-8926.7374	-8100.8565	51.9968	25630.6257	1.0028174044818579
NAMD	17500	-8054.4939	-8884.6651	-8060.2952000000005	217.5638	25630.6257	1.0028174044818579
GOMC	17500	-8060.29919347307	-8884.591519957286	-8060.239577345311	252.08	25630.6257	1.0028
GOMC	18000	-8066.856967526585	-8895.918584231538	-8066.856967526584	324.26	25630.6257	1.004
NAMD	18000	-8062.0280	-8896.0909	-8067.004399999999	245.6396	25630.6257	1.0039835766990268
NAMD	20500	-7976.1179	-8903.2750	-7982.754599999999	1291.5477	25630.6257	1.0039835766990268
GOMC	20500	-7982.798227386078	-8903.469960414373	-7982.977075769355	1379.8	25630.6257	1.004
