#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-9216.852072002033	0.0	0.0	1197.8072389383467	0.0	-10414.738799110726	-9861.699853930982	21.400202661303098	-45709.67235725637	45135.37032650917	-0.1926435552411593	-202.52	-0.14387	-46.116	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
3000	-9228.377856702149	0.0	0.0	1185.9237574716744	0.0	-10414.341358258996	-9861.302413079255	21.4101386825963	-45709.67235725637	45135.37032650917	-0.15281600748947982	-124.46	-0.087993	-45.813	847.0	0.976387249	0.0236127509	0.0322660871	0.000780316496	1.0067000000000002
5500	-8751.647555054215	0.0	0.0	1013.1959633106135	0.0	-9764.72428610931	-9216.65335157617	26.304622771628665	-45709.67235725637	45135.37032650917	-0.2111404524805882	-250.49	-0.1771	-43.687	847.0	0.976387249	0.0236127509	0.0322660871	0.000780316496	1.0067000000000002
6000	-8756.019404423225	0.0	0.0	1008.6850096434988	0.0	-9764.72428610931	-9216.65335157617	26.29866115885274	-45709.67235725637	45135.37032650917	-0.1749316036838936	-178.79	-0.12611	-43.476	849.0	0.974087161	0.0259128386	0.0322660871	0.000858348146	1.0108
8500	-8412.23306767836	0.0	0.0	922.9371458831471	0.0	-9335.090725391163	-8790.994199375304	30.261146450582558	-45709.67235725637	45135.37032650917	0.04973972259377998	264.88	0.18683	-40.975	849.0	0.974087161	0.0259128386	0.0322660871	0.000858348146	1.0108
9000	-8414.816433214593	0.0	0.0	940.9610885090194	0.0	-9355.757649681027	-8811.064962387576	31.137503528643165	-45818.968591481615	45242.679356475775	0.06763052253432336	300.48	0.21244	-41.02	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1.0049
11500	-8249.679759321541	0.0	0.0	829.0218726197814	0.0	-9078.741376026495	-8538.420538102055	35.622623540395516	-45818.968591481615	45242.679356475775	-0.26002567724315256	-358.1	-0.25318	-41.404	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1.0049
12000	-8249.08359804395	0.0	0.0	829.9161145361697	0.0	-9079.138816878223	-8538.817978953783	35.469608812480175	-45818.968591481615	45242.679356475775	-0.24921528607614646	-336.49	-0.23791	-41.362	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1.0049
14500	-8101.633042052799	0.0	0.0	825.3256726987095	0.0	-8926.918970666336	-8391.963584240224	40.88871482579371	-45818.968591481615	45242.679356475775	0.026964374585497424	212.99	0.15059	-39.632	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1.0049
15000	-8101.0368807752075	0.0	0.0	825.8622178485425	0.0	-8926.918970666336	-8392.162304666088	40.95429256632886	-45818.968591481615	45242.679356475775	-0.011473918668966288	136.13	0.096361	-39.817	846.0	0.979905437	0.0200945626	0.0323441188	0.000663269022	1.0028
17500	-8060.29919347307	0.0	0.0	824.3519426119755	0.0	-8884.591519957286	-8347.052767994943	38.2159250979218	-45818.968591481615	45242.679356475775	0.04696558544871737	252.08	0.17843	-39.403	846.0	0.979905437	0.0200945626	0.0323441188	0.000663269022	1.0028
18000	-8066.856967526585	0.0	0.0	829.0616167049542	0.0	-8895.918584231538	-8357.386230139875	37.868164352659655	-45874.61031072356	45298.321075717715	0.08293795693863368	324.26	0.22926	-39.258	847.0	0.979929162	0.0200708383	0.0323831346	0.000663269022	1.004
20500	-7982.798227386078	0.0	0.0	920.4928846450188	0.0	-8903.469960414373	-8360.764477379564	33.794395622445954	-45874.61031072356	45298.321075717715	0.6115024944689562	1379.8	0.97554	-36.919	847.0	0.979929162	0.0200708383	0.0323831346	0.000663269022	1.004
21000	-7978.426378017068	0.0	0.0	925.3814071212753	0.0	-8903.66868084024	-8360.963197805428	33.76061315004906	-45874.61031072356	45298.321075717715	0.5409567432872068	1234.8	0.87612	-37.293	844.0	0.983412322	0.0165876777	0.0323831346	0.000546221547	0.99776
23500	-8005.849796786311	0.0	0.0	790.0925411930076	0.0	-8795.962210021906	-8260.211941892338	40.59858300403216	-45874.61031072356	45298.321075717715	-0.17903120606946965	-199.62	-0.14164	-40.053	844.0	0.983412322	0.0165876777	0.0323831346	0.000546221547	0.99776
