#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-4638100.0	0.0	0.0	602760.0	0.0	-5240900.0	-4962600.0	10769.0	-23002000.0	22713000.0	-96.942	-202.52	-0.14387	-46.116	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
3000	-4643900.0	0.0	0.0	596780.0	0.0	-5240700.0	-4962400.0	10774.0	-23002000.0	22713000.0	-76.9	-124.46	-0.087993	-45.813	847.0	0.976387249	0.0236127509	0.0322660871	0.000780316496	1006.7
5500	-4404000.0	0.0	0.0	509860.0	0.0	-4913800.0	-4638000.0	13237.0	-23002000.0	22713000.0	-106.25	-250.49	-0.1771	-43.687	847.0	0.976387249	0.0236127509	0.0322660871	0.000780316496	1006.7
6000	-4406200.0	0.0	0.0	507590.0	0.0	-4913800.0	-4638000.0	13234.0	-23002000.0	22713000.0	-88.029	-178.79	-0.12611	-43.476	849.0	0.974087161	0.0259128386	0.0322660871	0.000858348146	1010.8
8500	-4233200.0	0.0	0.0	464440.0	0.0	-4697600.0	-4423800.0	15228.0	-23002000.0	22713000.0	25.03	264.88	0.18683	-40.975	849.0	0.974087161	0.0259128386	0.0322660871	0.000858348146	1010.8
9000	-4234500.0	0.0	0.0	473510.0	0.0	-4708000.0	-4433900.0	15669.0	-23057000.0	22767000.0	34.033	300.48	0.21244	-41.02	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1004.9
11500	-4151400.0	0.0	0.0	417180.0	0.0	-4568600.0	-4296700.0	17926.0	-23057000.0	22767000.0	-130.85	-358.1	-0.25318	-41.404	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1004.9
12000	-4151100.0	0.0	0.0	417630.0	0.0	-4568800.0	-4296900.0	17849.0	-23057000.0	22767000.0	-125.41	-336.49	-0.23791	-41.362	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1004.9
14500	-4076900.0	0.0	0.0	415320.0	0.0	-4492200.0	-4223000.0	20576.0	-23057000.0	22767000.0	13.569	212.99	0.15059	-39.632	847.0	0.978748524	0.0212514758	0.0323441188	0.000702284846	1004.9
15000	-4076600.0	0.0	0.0	415590.0	0.0	-4492200.0	-4223100.0	20609.0	-23057000.0	22767000.0	-5.7739	136.13	0.096361	-39.817	846.0	0.979905437	0.0200945626	0.0323441188	0.000663269022	1002.8
17500	-4056100.0	0.0	0.0	414830.0	0.0	-4470900.0	-4200400.0	19231.0	-23057000.0	22767000.0	23.634	252.08	0.17843	-39.403	846.0	0.979905437	0.0200945626	0.0323441188	0.000663269022	1002.8
18000	-4059400.0	0.0	0.0	417200.0	0.0	-4476600.0	-4205600.0	19056.0	-23085000.0	22795000.0	41.736	324.26	0.22926	-39.258	847.0	0.979929162	0.0200708383	0.0323831346	0.000663269022	1004.0
20500	-4017100.0	0.0	0.0	463210.0	0.0	-4480400.0	-4207300.0	17006.0	-23085000.0	22795000.0	307.72	1379.8	0.97554	-36.919	847.0	0.979929162	0.0200708383	0.0323831346	0.000663269022	1004.0
21000	-4014900.0	0.0	0.0	465670.0	0.0	-4480500.0	-4207400.0	16989.0	-23085000.0	22795000.0	272.22	1234.8	0.87612	-37.293	844.0	0.983412322	0.0165876777	0.0323831346	0.000546221547	997.76
23500	-4028700.0	0.0	0.0	397590.0	0.0	-4426300.0	-4156700.0	20430.0	-23085000.0	22795000.0	-90.092	-199.62	-0.14164	-40.053	844.0	0.983412322	0.0165876777	0.0323831346	0.000546221547	997.76
24000	-4036300.0	0.0	0.0	398170.0	0.0	-4434400.0	-4164700.0	21038.0	-23141000.0	22850000.0	-98.667	-233.76	-0.16566	-40.142	845.0	0.984615385	0.0153846154	0.0324611662	0.000507205722	998.02
26500	-4042400.0	0.0	0.0	398840.0	0.0	-4441200.0	-4168600.0	18101.0	-23141000.0	22850000.0	-76.631	-146.14	-0.10357	-40.043	845.0	0.984615385	0.0153846154	0.0324611662	0.000507205722	998.02
27000	-4043500.0	0.0	0.0	395880.0	0.0	-4439400.0	-4166600.0	17993.0	-23141000.0	22850000.0	-73.552	-134.23	-0.095015	-39.985	846.0	0.983451537	0.0165484634	0.0324611662	0.000546221547	1000.1
