#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
NAMD	0	-10140.2829	-11353.9062	-10140.2848	-12.1248	25630.6257	0.9984118649947746
NAMD	0	-10140.2829	-11353.9062	-10140.2848	-4541.5658	25630.6257	0.9984118649947746
NAMD	2500	-9213.9732	-10450.8198	-9218.532099999999	-142.7928	25630.6257	0.9984118649947746
GOMC	2500	-9218.64055583481	-10450.905916617989	-9218.64055583481	108.29	25630.6257	0.99841
GOMC	3000	-9233.345867348751	-10451.303357469717	-9233.405483476512	203.92	25630.6257	1.0088
NAMD	3000	-9228.6691	-10451.1486	-9233.228000000001	-54.9177	25630.6257	1.00877136152396
NAMD	5500	-8669.4350	-9629.7464	-8676.0962	-659.6471	25630.6257	1.00877136152396
GOMC	5500	-8676.53123407759	-9630.190557799326	-8676.551106120178	-447.38	25630.6257	1.0088
GOMC	6000	-8664.409288099883	-9629.991837373462	-8664.329799929537	-549.11	25630.6257	1.0005
NAMD	6000	-8659.2178	-9629.6816	-8663.9913	-701.1755	25630.6257	1.0004850600475197
NAMD	8500	-8332.2303	-9199.9762	-8343.4141	-650.8311	25630.6257	1.0004850600475197
GOMC	8500	-8343.475800329388	-9199.960835803586	-8343.41618420163	-563.9	25630.6257	1.0005
GOMC	9000	-8344.270682032844	-9200.15955622945	-8344.330298160603	-574.49	25630.6257	1.0005
NAMD	9000	-8334.7064	-9200.1375	-8344.297	-582.7088	25630.6257	1.0004850600475197
NAMD	11500	-8195.2902	-9093.8586	-8199.6392	245.4193	25630.6257	1.0004850600475197
GOMC	11500	-8199.800932429656	-9094.04284881803	-8199.840676514828	249.97	25630.6257	1.0005
GOMC	12000	-8205.762545205578	-9105.966074369875	-8205.603568864888	269.91	25630.6257	0.99958
NAMD	12000	-8201.5722	-9105.9257	-8205.5421	302.9127	25630.6257	0.9995780372119437
NAMD	14500	-8076.5732	-8948.8451	-8080.767400000001	548.2257	25630.6257	0.9995780372119437
GOMC	14500	-8080.568676911206	-8948.778217511384	-8080.727653251897	573.77	25630.6257	0.99958
GOMC	15000	-8082.555881169847	-8948.778217511384	-8082.516137084674	617.82	25630.6257	1.0016
NAMD	15000	-8078.5318	-8949.0115	-8082.726000000001	583.3397	25630.6257	1.0016512322646889
NAMD	17500	-8079.3684	-8881.3896	-8083.3702	-110.7038	25630.6257	1.0016512322646889
GOMC	17500	-8083.549483299168	-8881.411993143462	-8083.410379001063	-113.24	25630.6257	1.0016
GOMC	18000	-8080.171236059478	-8881.610713569326	-8080.191108102065	-136.97	25630.6257	0.99958
NAMD	18000	-8076.0461	-8881.4783	-8080.0473	-120.9905	25630.6257	0.9995780372119437
NAMD	20500	-8021.0802	-8830.2684	-8026.043600000001	-52.4330	25630.6257	0.9995780372119437
GOMC	20500	-8026.318000650312	-8830.539564122257	-8026.3378726928995	-51.471	25630.6257	0.99958
GOMC	21000	-8024.132075965807	-8833.520370510218	-8024.231436178739	-125.7	25630.6257	0.99452
NAMD	21000	-8020.4835	-8833.2553	-8023.9457	-75.4772	25630.6257	0.9945246242708776
NAMD	23500	-8049.6585	-8827.6058	-8051.374199999999	-515.9341	25630.6257	0.9945246242708776
GOMC	23500	-8051.754215160915	-8827.956198586022	-8051.734343118327	-545.28	25630.6257	0.99452
GOMC	24000	-8055.9273441040605	-8828.154919011888	-8056.086320444752	-465.2	25630.6257	0.99867
NAMD	24000	-8053.9709	-8827.7540	-8055.664000000001	-421.1924	25630.6257	0.9986710143763678
NAMD	26500	-8073.4542	-8866.3897	-8077.626899999999	-389.5588	25630.6257	0.9986710143763678
GOMC	26500	-8077.786590949109	-8866.507961203655	-8077.766718906523	-314.82	25630.6257	0.99867
GOMC	27000	-8080.369956485342	-8872.07213312785	-8080.330212400169	-226.88	25630.6257	1.0007000000000001
NAMD	27000	-8076.2724	-8872.0987	-8080.3383	-327.6431	25630.6257	1.0007442094291128
NAMD	29500	-8050.1386	-8837.5339	-8055.5433	-401.4538	25630.6257	1.0007442094291128
GOMC	29500	-8055.7286236781965	-8837.693499453362	-8055.728623678196	-309.8	25630.6257	1.0007000000000001
GOMC	30000	-8044.997720681536	-8834.513972639537	-8044.997720681536	-336.04	25630.6257	0.9954299999999999
NAMD	30000	-8041.5091	-8834.3762	-8044.837200000001	-373.4148	25630.6257	0.9954316471064536
NAMD	32500	-8007.6589	-8848.0546	-8013.1784	346.3858	25630.6257	0.9954316471064536
GOMC	32500	-8013.4011729691465	-8848.22568202416	-8013.361428883974	264.07	25630.6257	0.9954299999999999
GOMC	33000	-7997.702259325884	-8839.48198328614	-7997.622771155538	233.75	25630.6257	0.99012
NAMD	33000	-7992.9142	-8839.3124	-7997.436000000001	255.2470	25630.6257	0.9901190847837945
NAMD	35500	-7981.8968	-8779.7207	-7984.7625	-279.5996	25630.6257	0.9901190847837945
GOMC	35500	-7984.984152070583	-8779.865855526914	-7984.924535942822	-370.79	25630.6257	0.99012
GOMC	36000	-7994.324012086195	-8789.006995116662	-7994.304140043609	-357.1	25630.6257	0.9912799999999999
NAMD	36000	-7991.3578	-8788.8323	-7994.12	-275.2900	25630.6257	0.9912852570009635
NAMD	38500	-7970.3381	-8791.6629	-7974.8438	82.0921	25630.6257	0.9912852570009635
GOMC	38500	-7975.048130777379	-8791.987801504623	-7975.187235075483	-42.804	25630.6257	0.9912799999999999
GOMC	39000	-7987.76623803268	-8792.186521930487	-7987.766238032679	-29.512	25630.6257	0.9975
NAMD	39000	-7983.9540	-8791.9899	-7987.554300000001	133.6045	25630.6257	0.9975048421591987
NAMD	41500	-8000.3980	-8859.3634	-8006.314	493.1695	25630.6257	0.9975048421591987
GOMC	41500	-8006.445958063904	-8859.552746298412	-8006.525446234249	434.13	25630.6257	0.9975
GOMC	42000	-7994.125291660331	-8846.437198191383	-7994.125291660331	434.92	25630.6257	0.99724
NAMD	42000	-7987.9606	-8846.2061	-7993.8767	506.5021	25630.6257	0.9972392140430657
NAMD	44500	-7995.8579	-8797.2545	-7998.546599999999	-174.2371	25630.6257	0.9972392140430657
GOMC	44500	-7998.49714102934	-8797.353253002953	-7998.656117370031	-53.795	25630.6257	0.99724
GOMC	45000	-7995.118893789651	-8789.205715542526	-7995.099021747064	-9.2465	25630.6257	1.0002
NAMD	45000	-7992.4429	-8789.2624	-7995.1316	-119.4281	25630.6257	1.0002194319313866
NAMD	47500	-8001.0623	-8819.0332	-8004.4279	204.7835	25630.6257	1.0002194319313866
GOMC	47500	-8004.458753805263	-8819.212499848003	-8004.617730145954	278.21	25630.6257	1.0002
GOMC	48000	-8011.215248284641	-8818.815058996275	-8011.076143986537	397.26	25630.6257	1.0064
NAMD	48000	-8007.6863	-8818.8093	-8011.048500000001	328.7793	25630.6257	1.0064390170896218
NAMD	50500	-7969.6249	-8812.1554	-7976.8714	728.3621	25630.6257	1.0064390170896218
GOMC	50500	-7977.234055461883	-8812.654725794488	-7977.393031802574	761.58	25630.6257	1.0064
GOMC	51000	-7981.009743553301	-8823.186908365285	-7981.089231723648	792.62	25630.6257	1.0055
NAMD	51000	-7973.7455	-8822.7224	-7980.612700000001	789.9467	25630.6257	1.005531994254046
NAMD	53500	-8008.7450	-8791.6512	-8011.821	32.1395	25630.6257	1.005531994254046
