#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-4639000.0	0.0	0.0	620100.0	0.0	-5259100.0	-4981100.0	10973.0	-23002000.0	22713000.0	-18.38	108.29	0.076926	-45.556	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
3000	-4646400.0	0.0	0.0	612870.0	0.0	-5259300.0	-4981200.0	10963.0	-23002000.0	22713000.0	5.6896	203.92	0.14401	-45.186	848.0	0.975235849	0.0247641509	0.0322660871	0.000819332321	1008.8
5500	-4366200.0	0.0	0.0	479890.0	0.0	-4846100.0	-4571500.0	14476.0	-23002000.0	22713000.0	-155.24	-447.38	-0.31593	-43.624	848.0	0.975235849	0.0247641509	0.0322660871	0.000819332321	1008.8
6000	-4360100.0	0.0	0.0	485940.0	0.0	-4846000.0	-4571500.0	14462.0	-23002000.0	22713000.0	-181.6	-549.11	-0.38961	-43.957	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
8500	-4198600.0	0.0	0.0	431030.0	0.0	-4629600.0	-4358000.0	17398.0	-23002000.0	22713000.0	-183.74	-563.9	-0.4001	-42.393	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
9000	-4199000.0	0.0	0.0	430670.0	0.0	-4629700.0	-4358100.0	17402.0	-23002000.0	22713000.0	-186.42	-574.49	-0.40762	-42.416	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
11500	-4126300.0	0.0	0.0	449980.0	0.0	-4576300.0	-4302700.0	15462.0	-23002000.0	22713000.0	22.466	249.97	0.17736	-40.192	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
12000	-4129300.0	0.0	0.0	453080.0	0.0	-4582300.0	-4308400.0	15468.0	-23029000.0	22740000.0	27.473	269.91	0.19151	-40.185	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	999.58
14500	-4066300.0	0.0	0.0	436820.0	0.0	-4503200.0	-4229900.0	16088.0	-23029000.0	22740000.0	104.81	573.77	0.40711	-39.009	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	999.58
15000	-4067300.0	0.0	0.0	435920.0	0.0	-4503200.0	-4229900.0	16065.0	-23029000.0	22740000.0	115.79	617.82	0.43785	-38.892	845.0	0.979881657	0.0201183432	0.0323051029	0.000663269022	1001.6
17500	-4067800.0	0.0	0.0	401570.0	0.0	-4469300.0	-4198900.0	18987.0	-23029000.0	22740000.0	-68.583	-113.24	-0.08025	-40.232	845.0	0.979881657	0.0201183432	0.0323051029	0.000663269022	1001.6
18000	-4066100.0	0.0	0.0	403290.0	0.0	-4469400.0	-4199000.0	18978.0	-23029000.0	22740000.0	-74.639	-136.97	-0.097181	-40.307	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	999.58
20500	-4039000.0	0.0	0.0	404690.0	0.0	-4443700.0	-4175600.0	21304.0	-23029000.0	22740000.0	-52.785	-51.471	-0.03652	-39.883	844.0	0.981042654	0.018957346	0.0323051029	0.000624253197	999.58
21000	-4037900.0	0.0	0.0	407250.0	0.0	-4445200.0	-4176200.0	20774.0	-23057000.0	22767000.0	-71.688	-125.7	-0.089402	-40.104	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	994.52
23500	-4051800.0	0.0	0.0	390610.0	0.0	-4442400.0	-4167800.0	15194.0	-23057000.0	22767000.0	-178.02	-545.28	-0.38781	-41.009	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	994.52
24000	-4053900.0	0.0	0.0	388520.0	0.0	-4442500.0	-4167900.0	15179.0	-23057000.0	22767000.0	-157.4	-465.2	-0.33008	-40.787	844.0	0.982227488	0.0177725118	0.0323441188	0.000585237372	998.67
26500	-4064900.0	0.0	0.0	396910.0	0.0	-4461800.0	-4190200.0	18188.0	-23057000.0	22767000.0	-119.54	-314.82	-0.22338	-40.62	844.0	0.982227488	0.0177725118	0.0323441188	0.000585237372	998.67
27000	-4066200.0	0.0	0.0	398420.0	0.0	-4464600.0	-4193500.0	18608.0	-23057000.0	22767000.0	-97.227	-226.88	-0.16079	-40.424	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1000.7
29500	-4053800.0	0.0	0.0	393500.0	0.0	-4447300.0	-4177800.0	20202.0	-23057000.0	22767000.0	-118.02	-309.8	-0.21955	-40.454	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1000.7
30000	-4048400.0	0.0	0.0	397300.0	0.0	-4445700.0	-4176700.0	20324.0	-23029000.0	22740000.0	-125.03	-336.04	-0.23899	-40.593	842.0	0.983372922	0.0166270784	0.0323051029	0.000546221547	995.43
32500	-4032500.0	0.0	0.0	420120.0	0.0	-4452600.0	-4181300.0	18117.0	-23029000.0	22740000.0	27.015	264.07	0.18781	-39.335	842.0	0.983372922	0.0166270784	0.0323051029	0.000546221547	995.43
33000	-4024600.0	0.0	0.0	423640.0	0.0	-4448200.0	-4177400.0	18229.0	-23001000.0	22712000.0	19.488	233.75	0.16684	-39.453	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	990.12
35500	-4018200.0	0.0	0.0	400030.0	0.0	-4418200.0	-4148500.0	19318.0	-23001000.0	22712000.0	-134.0	-370.79	-0.26465	-40.502	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	990.12
36000	-4022900.0	0.0	0.0	399910.0	0.0	-4422800.0	-4152600.0	19193.0	-23029000.0	22740000.0	-130.42	-357.1	-0.25458	-40.476	840.0	0.985714286	0.0142857143	0.0323051029	0.000468189898	991.28
38500	-4013200.0	0.0	0.0	411030.0	0.0	-4424300.0	-4152500.0	17589.0	-23029000.0	22740000.0	-50.583	-42.804	-0.030515	-39.802	840.0	0.985714286	0.0142857143	0.0323051029	0.000468189898	991.28
39000	-4019600.0	0.0	0.0	404800.0	0.0	-4424400.0	-4152600.0	17583.0	-23029000.0	22740000.0	-47.106	-29.512	-0.020965	-39.699	843.0	0.982206406	0.0177935943	0.0323051029	0.000585237372	997.5
41500	-4029000.0	0.0	0.0	429260.0	0.0	-4458300.0	-4187700.0	18846.0	-23029000.0	22740000.0	70.007	434.13	0.3084	-38.943	843.0	0.982206406	0.0177935943	0.0323051029	0.000585237372	997.5
42000	-4022800.0	0.0	0.0	428900.0	0.0	-4451700.0	-4182300.0	19349.0	-22974000.0	22685000.0	70.352	434.92	0.30932	-38.926	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
44500	-4025000.0	0.0	0.0	401920.0	0.0	-4427000.0	-4155800.0	17535.0	-22974000.0	22685000.0	-53.361	-53.795	-0.03826	-39.845	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
45000	-4023300.0	0.0	0.0	399610.0	0.0	-4422900.0	-4152500.0	17874.0	-22946000.0	22658000.0	-42.019	-9.2465	-0.0065685	-39.699	843.0	0.978647687	0.0213523132	0.0321880555	0.000702284846	1000.2
47500	-4028000.0	0.0	0.0	409920.0	0.0	-4438000.0	-4168100.0	18493.0	-22946000.0	22658000.0	30.602	278.21	0.19764	-39.219	843.0	0.978647687	0.0213523132	0.0321880555	0.000702284846	1000.2
