#STEP MOLFRAC_DIOX
2500 0.0189798339
3000 0.0247641509
5500 0.0247641509
6000 0.0201421801
8500 0.0201421801
9000 0.0201421801
11500 0.0201421801
12000 0.018957346
14500 0.018957346
15000 0.0201183432
17500 0.0201183432
18000 0.018957346
20500 0.018957346
21000 0.0154394299
23500 0.0154394299
24000 0.0177725118
26500 0.0177725118
27000 0.0189349112
29500 0.0189349112
30000 0.0166270784
32500 0.0166270784
33000 0.0143027414
35500 0.0143027414
36000 0.0142857143
38500 0.0142857143
39000 0.0177935943
41500 0.0177935943
42000 0.0190023753
44500 0.0190023753
45000 0.0213523132
47500 0.0213523132
48000 0.024822695
50500 0.024822695
51000 0.0236406619
53500 0.0236406619
54000 0.0201900238
56500 0.0201900238
57000 0.0213523132
59500 0.0213523132
60000 0.0236966825
62500 0.0236966825
63000 0.0213776722
65500 0.0213776722
66000 0.0178997613
68500 0.0178997613
69000 0.0155316607
71500 0.0155316607
72000 0.0178571429
74500 0.0178571429
75000 0.0155316607
77500 0.0155316607
78000 0.019047619
80500 0.019047619
81000 0.0213523132
83500 0.0213523132
84000 0.0178784267
86500 0.0178784267
87000 0.0167064439
89500 0.0167064439
90000 0.0166865316
92500 0.0166865316
93000 0.0155131265
95500 0.0155131265
96000 0.0154761905
98500 0.0154761905
99000 0.0154761905
101500 0.0154761905
102000 0.0119474313
104500 0.0119474313
105000 0.00958083832
107500 0.00958083832
108000 0.00958083832
110500 0.00958083832
111000 0.0119474313
113500 0.0119474313
114000 0.0107784431
116500 0.0107784431
117000 0.0143198091
119500 0.0143198091
120000 0.0143027414
122500 0.0143027414
123000 0.0143027414
125500 0.0143027414
126000 0.0131108462
128500 0.0131108462
129000 0.0154761905
131500 0.0154761905
132000 0.0143027414
134500 0.0143027414
135000 0.0177935943
137500 0.0177935943
138000 0.0154577883
140500 0.0154577883
141000 0.0177514793
143500 0.0177514793
144000 0.0177514793
146500 0.0177514793
147000 0.0154577883
149500 0.0154577883
150000 0.0142857143
152500 0.0142857143
153000 0.0177935943
155500 0.0177935943
156000 0.0142857143
158500 0.0142857143
159000 0.0143198091
161500 0.0143198091
162000 0.0143198091
164500 0.0143198091
165000 0.0143198091
167500 0.0143198091
168000 0.0178571429
170500 0.0178571429
171000 0.0236966825
173500 0.0236966825
174000 0.0201900238
176500 0.0201900238
177000 0.019047619
179500 0.019047619
180000 0.019047619
182500 0.019047619
183000 0.0154946365
185500 0.0154946365
186000 0.0154946365
188500 0.0154946365
189000 0.0143027414
191500 0.0143027414
192000 0.0143027414
194500 0.0143027414
195000 0.0166270784
197500 0.0166270784
198000 0.0154577883
200500 0.0154577883
201000 0.0178359096
203500 0.0178359096
204000 0.0154946365
206500 0.0154946365
207000 0.0143198091
209500 0.0143198091
210000 0.0189798339
212500 0.0189798339
213000 0.016646849
215500 0.016646849
216000 0.0142687277
218500 0.0142687277
219000 0.0142687277
221500 0.0142687277
222000 0.0154577883
224500 0.0154577883
225000 0.0154761905
227500 0.0154761905
228000 0.0178359096
230500 0.0178359096
231000 0.0178359096
233500 0.0178359096
234000 0.0178147268
236500 0.0178147268
237000 0.0178359096
239500 0.0178359096
240000 0.0166270784
242500 0.0166270784
243000 0.0178147268
245500 0.0178147268
246000 0.0200945626
248500 0.0200945626
249000 0.0177725118
251500 0.0177725118
252000 0.0189349112
254500 0.0189349112
255000 0.0119189511
257500 0.0119189511
258000 0.0119047619
260500 0.0119047619
261000 0.0119047619
263500 0.0119047619
264000 0.0130796671
266500 0.0130796671
267000 0.0118906064
269500 0.0118906064
270000 0.0118764846
272500 0.0118764846
273000 0.0142517815
275500 0.0142517815
276000 0.0178571429
278500 0.0178571429
279000 0.0201900238
281500 0.0201900238
282000 0.0201900238
284500 0.0201900238
285000 0.0190703218
287500 0.0190703218
288000 0.0213776722
290500 0.0213776722
291000 0.019047619
293500 0.019047619
294000 0.0143884892
296500 0.0143884892
297000 0.0132211538
299500 0.0132211538
300000 0.0167664671
302500 0.0167664671
303000 0.0167664671
305500 0.0167664671
306000 0.0179856115
308500 0.0179856115
309000 0.0156438026
311500 0.0156438026
312000 0.0168067227
314500 0.0168067227
315000 0.0168269231
317500 0.0168269231
318000 0.0156438026
320500 0.0156438026
321000 0.0180722892
323500 0.0180722892
324000 0.0193236715
326500 0.0193236715
327000 0.0228640193
329500 0.0228640193
330000 0.0216606498
332500 0.0216606498
333000 0.0240384615
335500 0.0240384615
336000 0.025210084
338500 0.025210084
339000 0.0205066345
341500 0.0205066345
342000 0.0169286578
344500 0.0169286578
345000 0.0169082126
347500 0.0169082126
348000 0.0133333333
350500 0.0133333333
351000 0.00851581509
353500 0.00851581509
354000 0.0109090909
356500 0.0109090909
357000 0.0120918984
359500 0.0120918984
360000 0.0144057623
362500 0.0144057623
363000 0.0190703218
365500 0.0190703218
366000 0.0167264038
368500 0.0167264038
369000 0.0155316607
371500 0.0155316607
372000 0.0178784267
374500 0.0178784267
375000 0.0201900238
377500 0.0201900238
378000 0.019047619
380500 0.019047619
381000 0.0201660735
383500 0.0201660735
384000 0.0178571429
386500 0.0178571429
387000 0.0190249703
389500 0.0190249703
390000 0.0166865316
392500 0.0166865316
393000 0.0166865316
395500 0.0166865316
396000 0.0155131265
398500 0.0155131265
399000 0.0167064439
401500 0.0167064439
402000 0.0166865316
404500 0.0166865316
405000 0.0166865316
407500 0.0166865316
408000 0.0155131265
410500 0.0155131265
411000 0.016646849
413500 0.016646849
414000 0.0154761905
416500 0.0154761905
417000 0.016646849
419500 0.016646849
420000 0.0166073547
422500 0.0166073547
423000 0.0189349112
425500 0.0189349112
426000 0.0177725118
428500 0.0177725118
429000 0.0177725118
431500 0.0177725118
432000 0.0154211151
434500 0.0154211151
435000 0.0142517815
437500 0.0142517815
438000 0.0165876777
440500 0.0165876777
441000 0.013064133
443500 0.013064133
444000 0.0142180095
446500 0.0142180095
447000 0.0142180095
449500 0.0142180095
450000 0.0153482881
452500 0.0153482881
453000 0.0141843972
455500 0.0141843972
456000 0.0153664303
458500 0.0153664303
459000 0.0165289256
461500 0.0165289256
462000 0.0153846154
464500 0.0153846154
465000 0.0153846154
467500 0.0153846154
468000 0.0142011834
470500 0.0142011834
471000 0.0118764846
473500 0.0118764846
474000 0.013064133
476500 0.013064133
477000 0.00835322196
479500 0.00835322196
480000 0.0107142857
482500 0.0107142857
483000 0.0107015458
485500 0.0107015458
486000 0.0142011834
488500 0.0142011834
489000 0.0142011834
491500 0.0142011834
492000 0.0142011834
494500 0.0142011834
495000 0.0165289256
497500 0.0165289256
498000 0.0153664303
500500 0.0153664303
501000 0.0130177515
503500 0.0130177515
504000 0.0118343195
506500 0.0118343195
507000 0.0153664303
509500 0.0153664303
510000 0.0176886792
512500 0.0176886792
513000 0.0165289256
515500 0.0165289256
516000 0.0141843972
518500 0.0141843972
519000 0.0141509434
521500 0.0141509434
522000 0.0141176471
524500 0.0141176471
525000 0.0129716981
527500 0.0129716981
528000 0.0141342756
530500 0.0141342756
531000 0.0141342756
533500 0.0141342756
534000 0.0153121319
536500 0.0153121319
537000 0.0153121319
539500 0.0153121319
540000 0.0141676505
542500 0.0141676505
543000 0.0153301887
545500 0.0153301887
546000 0.0141676505
548500 0.0141676505
549000 0.0141676505
551500 0.0141676505
552000 0.0141676505
554500 0.0141676505
555000 0.0141676505
557500 0.0141676505
558000 0.0141843972
560500 0.0141843972
561000 0.0141843972
563500 0.0141843972
564000 0.0130331754
566500 0.0130331754
567000 0.0130486358
569500 0.0130486358
570000 0.00953516091
572500 0.00953516091
573000 0.00834326579
575500 0.00834326579
576000 0.0106888361
578500 0.0106888361
579000 0.0130331754
581500 0.0130331754
582000 0.00950118765
584500 0.00950118765
