#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-9232.153544793568	0.0	0.0	1139.184713308442	0.0	-10371.21902584649	-9816.192876408108	19.278663394778146	-45709.67235725637	45135.37032650917	-0.5058627160796096	-825.75	-0.58659	-47.333	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
3000	-9236.724114588442	0.0	0.0	1134.7333757690867	0.0	-10371.616466698219	-9816.391596833972	19.271310739021178	-45709.67235725637	45135.37032650917	-0.5087640342972253	-832.61	-0.59076	-47.313	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
5500	-8697.794319645049	0.0	0.0	944.6970325152641	0.0	-9642.511224202899	-9097.02365520599	29.033054218742524	-45709.67235725637	45135.37032650917	-0.5449311518044885	-915.3	-0.64943	-44.792	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
6000	-8695.807115386408	0.0	0.0	946.6047486035593	0.0	-9642.312503777035	-9097.02365520599	29.07279830391534	-45709.67235725637	45135.37032650917	-0.5684596502267958	-960.87	-0.68258	-44.918	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
8500	-8364.93760632271	0.0	0.0	903.4029280207077	0.0	-9268.32066230083	-8724.621577136699	30.67647214063849	-45709.67235725637	45135.37032650917	-0.234688822945482	-302.94	-0.2152	-42.072	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	0.99841
9000	-8365.335047174438	0.0	0.0	903.1247194244979	0.0	-9268.519382726694	-8724.820297562565	30.672497732121208	-45709.67235725637	45135.37032650917	-0.19738899901079363	-229.15	-0.16259	-41.889	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
11500	-8207.352308612491	0.0	0.0	823.0801318864453	0.0	-9030.452312541523	-8494.105883134363	38.10464165943792	-45709.67235725637	45135.37032650917	-0.25128197850513295	-339.66	-0.241	-41.308	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
12000	-8204.570222650394	0.0	0.0	825.7231135504377	0.0	-9030.452312541523	-8493.9071627085	38.03310230612684	-45709.67235725637	45135.37032650917	-0.2377093734186161	-312.68	-0.22186	-41.245	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
14500	-8089.511096075091	0.0	0.0	808.1959719892255	0.0	-8897.707068064316	-8365.732488026166	42.5281583391724	-45709.67235725637	45135.37032650917	-0.14425711874751376	-128.68	-0.091301	-40.338	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1.0005
15000	-8083.152042447439	0.0	0.0	806.1491516028254	0.0	-8889.16208975216	-8357.982391417467	42.42879812624036	-45654.030638014425	45079.72860726723	-0.13090111892518874	-102.18	-0.072503	-40.258	844.0	0.978672986	0.0213270142	0.0322270713	0.000702284846	1.0014
