#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
2500	-4645800.0	0.0	0.0	573260.0	0.0	-5219000.0	-4939700.0	9701.4	-23002000.0	22713000.0	-254.56	-825.75	-0.58659	-47.333	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
3000	-4648100.0	0.0	0.0	571020.0	0.0	-5219200.0	-4939800.0	9697.7	-23002000.0	22713000.0	-256.02	-832.61	-0.59076	-47.313	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
5500	-4376900.0	0.0	0.0	475390.0	0.0	-4852300.0	-4577800.0	14610.0	-23002000.0	22713000.0	-274.22	-915.3	-0.64943	-44.792	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
6000	-4375900.0	0.0	0.0	476350.0	0.0	-4852200.0	-4577800.0	14630.0	-23002000.0	22713000.0	-286.06	-960.87	-0.68258	-44.918	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
8500	-4209400.0	0.0	0.0	454610.0	0.0	-4664000.0	-4390400.0	15437.0	-23002000.0	22713000.0	-118.1	-302.94	-0.2152	-42.072	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
9000	-4209600.0	0.0	0.0	454470.0	0.0	-4664100.0	-4390500.0	15435.0	-23002000.0	22713000.0	-99.33	-229.15	-0.16259	-41.889	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
11500	-4130100.0	0.0	0.0	414190.0	0.0	-4544300.0	-4274400.0	19175.0	-23002000.0	22713000.0	-126.45	-339.66	-0.241	-41.308	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
12000	-4128700.0	0.0	0.0	415520.0	0.0	-4544300.0	-4274300.0	19139.0	-23002000.0	22713000.0	-119.62	-312.68	-0.22186	-41.245	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
14500	-4070800.0	0.0	0.0	406700.0	0.0	-4477500.0	-4209800.0	21401.0	-23002000.0	22713000.0	-72.593	-128.68	-0.091301	-40.338	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
15000	-4067600.0	0.0	0.0	405670.0	0.0	-4473200.0	-4205900.0	21351.0	-22974000.0	22685000.0	-65.872	-102.18	-0.072503	-40.258	844.0	0.978672986	0.0213270142	0.0322270713	0.000702284846	1001.4
17500	-4036300.0	0.0	0.0	386080.0	0.0	-4422400.0	-4150800.0	17022.0	-22974000.0	22685000.0	-110.62	-280.61	-0.1991	-40.276	844.0	0.978672986	0.0213270142	0.0322270713	0.000702284846	1001.4
18000	-4037800.0	0.0	0.0	384580.0	0.0	-4422400.0	-4150700.0	17034.0	-22974000.0	22685000.0	-98.815	-234.28	-0.16603	-40.159	845.0	0.977514793	0.0224852071	0.0322270713	0.000741300671	1003.5
20500	-4063600.0	0.0	0.0	431400.0	0.0	-4495100.0	-4224300.0	17974.0	-22974000.0	22685000.0	85.963	499.4	0.35392	-39.072	845.0	0.977514793	0.0224852071	0.0322270713	0.000741300671	1003.5
21000	-4062700.0	0.0	0.0	427630.0	0.0	-4490400.0	-4219600.0	17635.0	-22946000.0	22658000.0	82.547	486.21	0.34417	-39.041	846.0	0.975177305	0.024822695	0.0321880555	0.000819332321	1006.4
23500	-4033800.0	0.0	0.0	383230.0	0.0	-4417000.0	-4145400.0	16806.0	-22946000.0	22658000.0	-69.009	-116.58	-0.082519	-39.856	846.0	0.975177305	0.024822695	0.0321880555	0.000819332321	1006.4
24000	-4033400.0	0.0	0.0	389220.0	0.0	-4422600.0	-4150400.0	16468.0	-22974000.0	22685000.0	-89.724	-197.57	-0.14035	-40.143	843.0	0.979833926	0.0201660735	0.0322270713	0.000663269022	999.31
26500	-4014100.0	0.0	0.0	389390.0	0.0	-4403500.0	-4135000.0	20183.0	-22974000.0	22685000.0	-81.068	-164.08	-0.11656	-39.891	843.0	0.979833926	0.0201660735	0.0322270713	0.000663269022	999.31
27000	-4013200.0	0.0	0.0	392660.0	0.0	-4405900.0	-4136700.0	19520.0	-22974000.0	22685000.0	-77.83	-150.94	-0.10735	-39.906	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
29500	-4022500.0	0.0	0.0	400720.0	0.0	-4423200.0	-4151700.0	17192.0	-22974000.0	22685000.0	-54.526	-58.497	-0.041604	-39.828	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
30000	-4023500.0	0.0	0.0	399700.0	0.0	-4423200.0	-4151700.0	17216.0	-22974000.0	22685000.0	-48.577	-35.179	-0.02499	-39.748	843.0	0.979833926	0.0201660735	0.0322270713	0.000663269022	999.31
32500	-4001700.0	0.0	0.0	395450.0	0.0	-4397100.0	-4126700.0	18304.0	-22974000.0	22685000.0	-27.882	45.833	0.032559	-39.384	843.0	0.979833926	0.0201660735	0.0322270713	0.000663269022	999.31
33000	-3999400.0	0.0	0.0	397750.0	0.0	-4397200.0	-4126800.0	18305.0	-22974000.0	22685000.0	-57.82	-71.871	-0.051238	-39.719	840.0	0.983333333	0.0166666667	0.0322270713	0.000546221547	993.09
35500	-4014700.0	0.0	0.0	403900.0	0.0	-4418600.0	-4151400.0	21460.0	-22974000.0	22685000.0	-66.207	-104.33	-0.074379	-39.93	840.0	0.983333333	0.0166666667	0.0322270713	0.000546221547	993.09
36000	-4007700.0	0.0	0.0	404300.0	0.0	-4412000.0	-4145400.0	21837.0	-22946000.0	22658000.0	-57.098	-68.433	-0.048845	-39.842	839.0	0.983313468	0.0166865316	0.0321880555	0.000546221547	991.93
38500	-4015200.0	0.0	0.0	397690.0	0.0	-4412900.0	-4142600.0	18006.0	-22946000.0	22658000.0	-122.17	-324.33	-0.23149	-40.388	839.0	0.983313468	0.0166865316	0.0321880555	0.000546221547	991.93
39000	-4021000.0	0.0	0.0	392460.0	0.0	-4413500.0	-4143200.0	18129.0	-22946000.0	22658000.0	-125.07	-336.7	-0.23975	-40.371	841.0	0.98097503	0.0190249703	0.0321880555	0.000624253197	996.07
41500	-4017300.0	0.0	0.0	420260.0	0.0	-4437600.0	-4167800.0	18559.0	-22946000.0	22658000.0	43.305	327.64	0.2333	-39.115	841.0	0.98097503	0.0190249703	0.0321880555	0.000624253197	996.07
42000	-4019800.0	0.0	0.0	423130.0	0.0	-4442900.0	-4173100.0	18871.0	-22974000.0	22685000.0	36.662	301.35	0.21483	-39.235	840.0	0.983333333	0.0166666667	0.0322270713	0.000546221547	993.09
44500	-3993800.0	0.0	0.0	396530.0	0.0	-4390300.0	-4121400.0	19777.0	-22974000.0	22685000.0	-48.454	-35.172	-0.025074	-39.596	840.0	0.983333333	0.0166666667	0.0322270713	0.000546221547	993.09
45000	-3997100.0	0.0	0.0	393310.0	0.0	-4390400.0	-4121400.0	19757.0	-22974000.0	22685000.0	-35.769	14.623	0.0104	-39.443	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
47500	-4037200.0	0.0	0.0	415120.0	0.0	-4452300.0	-4180100.0	16434.0	-22974000.0	22685000.0	-13.761	103.15	0.073359	-39.677	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
48000	-4040100.0	0.0	0.0	415780.0	0.0	-4455900.0	-4183900.0	16705.0	-22974000.0	22685000.0	0.23765	158.57	0.11264	-39.557	843.0	0.979833926	0.0201660735	0.0322270713	0.000663269022	999.31
50500	-4016900.0	0.0	0.0	411530.0	0.0	-4428400.0	-4159300.0	19559.0	-22974000.0	22685000.0	34.897	294.77	0.2094	-39.079	843.0	0.979833926	0.0201660735	0.0322270713	0.000663269022	999.31
51000	-4014300.0	0.0	0.0	414170.0	0.0	-4428500.0	-4159300.0	19556.0	-22974000.0	22685000.0	35.921	298.55	0.21233	-39.093	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
53500	-4023000.0	0.0	0.0	395060.0	0.0	-4418100.0	-4147100.0	17780.0	-22974000.0	22685000.0	-60.718	-82.943	-0.05899	-39.878	842.0	0.980997625	0.0190023753	0.0322270713	0.000624253197	997.24
54000	-4021300.0	0.0	0.0	396810.0	0.0	-4418100.0	-4147200.0	17762.0	-22974000.0	22685000.0	-69.91	-119.0	-0.084735	-39.975	841.0	0.98216409	0.0178359096	0.0322270713	0.000585237372	995.17
56500	-4013700.0	0.0	0.0	384090.0	0.0	-4397700.0	-4130100.0	21006.0	-22974000.0	22685000.0	-121.85	-324.28	-0.23091	-40.276	841.0	0.98216409	0.0178359096	0.0322270713	0.000585237372	995.17
57000	-4018300.0	0.0	0.0	384030.0	0.0	-4402300.0	-4134300.0	21062.0	-23002000.0	22713000.0	-103.63	-253.18	-0.17985	-40.095	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
59500	-4020500.0	0.0	0.0	385250.0	0.0	-4405700.0	-4136200.0	19534.0	-23002000.0	22713000.0	-104.07	-254.82	-0.18102	-40.12	843.0	0.981020166	0.0189798339	0.0322660871	0.000624253197	998.41
60000	-4022100.0	0.0	0.0	383660.0	0.0	-4405700.0	-4136200.0	19540.0	-23002000.0	22713000.0	-100.2	-239.91	-0.17022	-40.061	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
62500	-4017700.0	0.0	0.0	377010.0	0.0	-4394700.0	-4123400.0	17763.0	-23002000.0	22713000.0	-117.96	-310.44	-0.22027	-40.147	844.0	0.97985782	0.0201421801	0.0322660871	0.000663269022	1000.5
63000	-4024800.0	0.0	0.0	378060.0	0.0	-4402900.0	-4130900.0	17759.0	-23057000.0	22767000.0	-121.84	-326.1	-0.23111	-40.198	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1000.7
65500	-4025800.0	0.0	0.0	411930.0	0.0	-4437700.0	-4165900.0	17936.0	-23057000.0	22767000.0	36.472	301.69	0.2138	-39.061	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1000.7
66000	-4024800.0	0.0	0.0	413070.0	0.0	-4437900.0	-4166000.0	17886.0	-23057000.0	22767000.0	39.724	314.54	0.22291	-39.028	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1000.7
68500	-4047700.0	0.0	0.0	399800.0	0.0	-4447500.0	-4177900.0	20215.0	-23057000.0	22767000.0	-49.746	-39.328	-0.027871	-39.899	845.0	0.981065089	0.0189349112	0.0323441188	0.000624253197	1000.7
