#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
NAMD	0	-10144.4236	-11362.6142	-10144.4815	-12.4013	25630.6257	0.9984118649947746
NAMD	0	-10144.4236	-11362.6142	-10144.4815	-4507.3172	25630.6257	0.9984118649947746
NAMD	2500	-9229.6442	-10371.4837	-9232.278400000001	-1414.8386	25630.6257	0.9984118649947746
GOMC	2500	-9232.153544793568	-10371.21902584649	-9232.03431253805	-825.75	25630.6257	0.99841
GOMC	3000	-9236.724114588442	-10371.616466698219	-9236.883090929132	-832.61	25630.6257	1.0005
NAMD	3000	-9234.6093	-10371.7100	-9236.961299999999	-1401.5678	25630.6257	1.0004850600475197
NAMD	5500	-8693.1698	-9642.3075	-8697.5879	-1304.8904	25630.6257	1.0004850600475197
GOMC	5500	-8697.794319645049	-9642.511224202899	-8697.814191687636	-915.3	25630.6257	1.0005
GOMC	6000	-8695.807115386408	-9642.312503777035	-8695.707755173476	-960.87	25630.6257	0.99841
NAMD	6000	-8691.7226	-9642.2394	-8695.6087	-1336.7701	25630.6257	0.9984118649947746
NAMD	8500	-8361.7148	-9267.9625	-8364.545	-555.3498	25630.6257	0.9984118649947746
GOMC	8500	-8364.93760632271	-9268.32066230083	-8364.917734280123	-302.94	25630.6257	0.99841
GOMC	9000	-8365.335047174438	-9268.519382726694	-8365.394663302195	-229.15	25630.6257	1.0005
NAMD	9000	-8362.4640	-9268.1310	-8364.984699999999	-443.4276	25630.6257	1.0004850600475197
NAMD	11500	-8199.9616	-9030.4198	-8207.3224	-269.0965	25630.6257	1.0004850600475197
GOMC	11500	-8207.352308612491	-9030.452312541523	-8207.372180655078	-339.66	25630.6257	1.0005
GOMC	12000	-8204.570222650394	-9030.452312541523	-8204.729198991086	-312.68	25630.6257	1.0005
NAMD	12000	-8199.5003	-9030.2804	-8204.5459	-286.8113	25630.6257	1.0004850600475197
NAMD	14500	-8083.5492	-8897.5817	-8089.3693	-272.5102	25630.6257	1.0004850600475197
GOMC	14500	-8089.511096075091	-8897.707068064316	-8089.51109607509	-128.68	25630.6257	1.0005
GOMC	15000	-8083.152042447439	-8889.16208975216	-8083.012938149335	-102.18	25630.6257	1.0014
NAMD	15000	-8078.7131	-8889.1677	-8082.9919	-218.1926	25630.6257	1.0013856041485558
NAMD	17500	-8015.7065	-8788.3029	-8021.0568	-300.1604	25630.6257	1.0013856041485558
GOMC	17500	-8020.952549151982	-8788.212113413207	-8020.9922932371555	-280.61	25630.6257	1.0014
GOMC	18000	-8023.933355539943	-8788.212113413207	-8023.973099625116	-234.28	25630.6257	1.0035
NAMD	18000	-8019.7346	-8788.2720	-8024.023000000001	-257.3504	25630.6257	1.0034587992013009
NAMD	20500	-8071.5312	-8932.7899	-8075.4828	653.3728	25630.6257	1.0034587992013009
GOMC	20500	-8075.203225412876	-8932.681863016394	-8075.40194583874	499.4	25630.6257	1.0035
GOMC	21000	-8073.4147415801	-8923.342003000782	-8073.553845878204	486.21	25630.6257	1.0064
NAMD	21000	-8069.7422	-8923.4621	-8073.661400000001	629.4844	25630.6257	1.0064390170896218
NAMD	23500	-8008.8897	-8777.1036	-8015.5333	-88.5423	25630.6257	1.0064390170896218
GOMC	23500	-8015.9845385053795	-8777.481210416545	-8015.92492237762	-116.58	25630.6257	1.0064
GOMC	24000	-8015.189656801924	-8788.609554264935	-8015.149912716751	-197.57	25630.6257	0.9993099999999999
NAMD	24000	-8008.3080	-8788.2423	-8014.7652	-194.1621	25630.6257	0.9993124090958108
NAMD	26500	-7972.2831	-8750.6326	-7976.811300000001	-208.9451	25630.6257	0.9993124090958108
GOMC	26500	-7976.836614610155	-8750.653952924895	-7976.856486652742	-164.08	25630.6257	0.9993099999999999
GOMC	27000	-7975.048130777379	-8755.423243145633	-7975.127618947725	-150.94	25630.6257	0.99724
NAMD	27000	-7971.1461	-8755.4058	-7975.083100000001	-153.7225	25630.6257	0.9972392140430657
NAMD	29500	-7987.5698	-8789.5908	-7993.2599	-46.9038	25630.6257	0.9972392140430657
GOMC	29500	-7993.529130382738	-8789.801876820118	-7993.489386297565	-58.497	25630.6257	0.99724
GOMC	30000	-7995.516334641379	-8789.801876820118	-7995.516334641378	-35.179	25630.6257	0.9993099999999999
NAMD	30000	-7989.5357	-8789.5209	-7995.225799999999	-18.3459	25630.6257	0.9993124090958108
NAMD	32500	-7948.6271	-8737.7645	-7951.910399999999	28.4635	25630.6257	0.9993124090958108
GOMC	32500	-7952.195281803009	-8737.935845669594	-7952.0959215900775	45.833	25630.6257	0.9993099999999999
GOMC	33000	-7947.624712008135	-8738.134566095458	-7947.724072221067	-71.871	25630.6257	0.99309
NAMD	33000	-7944.8806	-8737.8666	-7947.428399999999	-131.7527	25630.6257	0.9930928239375756
NAMD	35500	-7972.8063	-8780.0388	-7977.3818	190.0051	25630.6257	0.9930928239375756
GOMC	35500	-7978.02893716534	-8780.660737230372	-7978.028937165341	-104.33	25630.6257	0.99309
GOMC	36000	-7964.118507354854	-8767.545189123342	-7964.118507354855	-68.433	25630.6257	0.99193
