#STEP MOLFRAC_DIOX
2500 0.0189798339
3000 0.0201421801
5500 0.0201421801
6000 0.0213017751
8500 0.0213017751
9000 0.0213017751
11500 0.0213017751
12000 0.0189798339
14500 0.0189798339
15000 0.0178571429
17500 0.0178571429
18000 0.0154761905
20500 0.0154761905
21000 0.0154761905
23500 0.0154761905
24000 0.0178147268
26500 0.0178147268
27000 0.0143027414
29500 0.0143027414
30000 0.0119474313
32500 0.0119474313
33000 0.0131264916
35500 0.0131264916
36000 0.0143027414
38500 0.0143027414
39000 0.0142857143
41500 0.0142857143
42000 0.0142857143
44500 0.0142857143
45000 0.0166270784
47500 0.0166270784
48000 0.0178147268
50500 0.0178147268
51000 0.0143027414
53500 0.0143027414
54000 0.0131108462
56500 0.0131108462
57000 0.0142517815
59500 0.0142517815
60000 0.0118906064
62500 0.0118906064
63000 0.0130796671
65500 0.0130796671
66000 0.0154394299
68500 0.0154394299
69000 0.0166073547
71500 0.0166073547
72000 0.0165876777
74500 0.0165876777
75000 0.0177304965
77500 0.0177304965
78000 0.0142348754
80500 0.0142348754
81000 0.013064133
83500 0.013064133
84000 0.0142180095
86500 0.0142180095
87000 0.0153664303
89500 0.0153664303
90000 0.0177095632
92500 0.0177095632
93000 0.0153846154
95500 0.0153846154
96000 0.0176886792
98500 0.0176886792
99000 0.0130331754
101500 0.0130331754
102000 0.0142011834
104500 0.0142011834
105000 0.0154028436
107500 0.0154028436
108000 0.0130486358
110500 0.0130486358
111000 0.0118764846
113500 0.0118764846
114000 0.013064133
116500 0.013064133
117000 0.0107015458
119500 0.0107015458
120000 0.00952380952
122500 0.00952380952
123000 0.0118764846
125500 0.0118764846
126000 0.0130486358
128500 0.0130486358
129000 0.0118623962
131500 0.0118623962
132000 0.0118483412
134500 0.0118483412
135000 0.0106761566
137500 0.0106761566
138000 0.0118764846
140500 0.0118764846
141000 0.00950118765
143500 0.00950118765
144000 0.0118483412
146500 0.0118483412
147000 0.00948991696
149500 0.00948991696
150000 0.0106761566
152500 0.0106761566
153000 0.0130331754
155500 0.0130331754
156000 0.0106888361
158500 0.0106888361
159000 0.00951248514
161500 0.00951248514
162000 0.00596658711
164500 0.00596658711
165000 0.00832342449
167500 0.00832342449
168000 0.00952380952
170500 0.00952380952
171000 0.0130486358
173500 0.0130486358
174000 0.0130486358
176500 0.0130486358
177000 0.0165289256
179500 0.0165289256
180000 0.0153846154
182500 0.0153846154
183000 0.0153846154
185500 0.0153846154
186000 0.0153846154
188500 0.0153846154
189000 0.0130331754
191500 0.0130331754
192000 0.016509434
194500 0.016509434
195000 0.0176886792
197500 0.0176886792
198000 0.0176470588
200500 0.0176470588
201000 0.0164705882
203500 0.0164705882
204000 0.0164705882
206500 0.0164705882
207000 0.01992966
209500 0.01992966
210000 0.017626322
212500 0.017626322
213000 0.0141676505
215500 0.0141676505
216000 0.0106635071
218500 0.0106635071
219000 0.00831353919
221500 0.00831353919
222000 0.0118483412
224500 0.0118483412
225000 0.0130177515
227500 0.0130177515
228000 0.0142011834
230500 0.0142011834
231000 0.0142011834
233500 0.0142011834
234000 0.0130331754
236500 0.0130331754
237000 0.0153664303
239500 0.0153664303
240000 0.0153664303
242500 0.0153664303
243000 0.0142180095
245500 0.0142180095
246000 0.0153846154
248500 0.0153846154
249000 0.0118764846
251500 0.0118764846
252000 0.0188679245
254500 0.0188679245
255000 0.0200235571
257500 0.0200235571
258000 0.0212014134
260500 0.0212014134
261000 0.0188457008
263500 0.0188457008
264000 0.0153482881
266500 0.0153482881
267000 0.0141676505
269500 0.0141676505
270000 0.0141676505
272500 0.0141676505
273000 0.0153482881
275500 0.0153482881
276000 0.0153664303
278500 0.0153664303
279000 0.0223004695
281500 0.0223004695
282000 0.0211764706
284500 0.0211764706
285000 0.0212014134
287500 0.0212014134
288000 0.0212014134
290500 0.0212014134
291000 0.0223529412
293500 0.0223529412
294000 0.0212014134
296500 0.0212014134
297000 0.0200235571
299500 0.0200235571
300000 0.0211764706
302500 0.0211764706
303000 0.0188902007
305500 0.0188902007
306000 0.0154211151
308500 0.0154211151
309000 0.0165876777
311500 0.0165876777
312000 0.0177304965
314500 0.0177304965
315000 0.0165484634
317500 0.0165484634
318000 0.0188679245
320500 0.0188679245
321000 0.0176886792
323500 0.0176886792
324000 0.0153301887
326500 0.0153301887
327000 0.0164705882
329500 0.0164705882
330000 0.0141342756
332500 0.0141342756
333000 0.0164512338
335500 0.0164512338
336000 0.0106382979
338500 0.0106382979
339000 0.012987013
341500 0.012987013
342000 0.0130023641
344500 0.0130023641
345000 0.012987013
347500 0.012987013
348000 0.0153121319
350500 0.0153121319
351000 0.0141509434
353500 0.0141509434
354000 0.017626322
356500 0.017626322
357000 0.0141342756
359500 0.0141342756
360000 0.0141509434
362500 0.0141509434
363000 0.0141509434
365500 0.0141509434
366000 0.012987013
368500 0.012987013
369000 0.0141676505
371500 0.0141676505
372000 0.0153482881
374500 0.0153482881
375000 0.016509434
377500 0.016509434
378000 0.0130177515
380500 0.0130177515
381000 0.0153664303
383500 0.0153664303
384000 0.0142011834
386500 0.0142011834
387000 0.0130331754
