#ENGINE	STEP	TOTAL_POT	TOTAL_ELECT	TOTAL_VDW_plus_ELECT	PRESSURE	VOLUME	DENSITY
NAMD	99000	-8021.3161	-8761.4178	-8024.834099999999	-777.7451	25630.6257	0.9950429230340639
NAMD	101500	-8060.3281	-8880.8652	-8062.7582	-122.8038	25630.6257	0.9950429230340639
GOMC	101500	-8062.683838583439	-8880.815831865868	-8062.723582668611	-148.2	25630.6257	0.99505
GOMC	102000	-8071.8249781731865	-8884.79024038315	-8071.7057459176685	-164.2	25630.6257	0.99712
NAMD	102000	-8069.5607	-8884.8599	-8071.759499999999	-178.1152	25630.6257	0.997116118086809
NAMD	104500	-8019.2565	-8796.2792	-8024.504900000001	-484.3674	25630.6257	0.997116118086809
GOMC	104500	-8024.330796391671	-8796.16093044777	-8024.410284562017	-439.01	25630.6257	0.99712
GOMC	105000	-8011.016527858777	-8783.840264044196	-8011.016527858777	-412.98	25630.6257	0.99686
NAMD	105000	-8005.9913	-8784.0324	-8011.1892	-442.4529	25630.6257	0.9968569687052158
NAMD	107500	-8078.5703	-8908.1268	-8082.8444	-188.4912	25630.6257	0.9968569687052158
GOMC	107500	-8083.152042447439	-8908.437971060976	-8083.171914490025	-113.64	25630.6257	0.99686
GOMC	108000	-8087.52389181645	-8915.194465540355	-8087.46427568869	-182.53	25630.6257	0.99388
NAMD	108000	-8082.8433	-8914.8470	-8087.0956	-257.5133	25630.6257	0.9938767508168949
NAMD	110500	-8074.4911	-8834.8303	-8076.723	-671.1353	25630.6257	0.9938767508168949
GOMC	110500	-8077.190429671517	-8835.11013391713	-8077.031453330826	-762.96	25630.6257	0.99388
GOMC	111000	-8073.017300728371	-8835.308854342993	-8073.156405026475	-755.66	25630.6257	0.99181
NAMD	111000	-8070.4607	-8834.8492	-8072.683900000001	-660.1334	25630.6257	0.9918035557641497
NAMD	113500	-8092.6437	-8853.1781	-8095.5851999999995	-864.7791	25630.6257	0.9918035557641497
GOMC	113500	-8095.870149702741	-8853.392413096626	-8095.810533574982	-872.31	25630.6257	0.99181
GOMC	114000	-8090.305977778547	-8844.648714358606	-8090.305977778547	-858.44	25630.6257	0.99271
NAMD	114000	-8088.0298	-8844.3037	-8089.9348	-805.8819	25630.6257	0.9927105785997257
NAMD	116500	-8032.3849	-8812.9275	-8034.5226999999995	-502.4763	25630.6257	0.9927105785997257
GOMC	116500	-8034.4655381107395	-8812.853446220352	-8034.465538110739	-491.68	25630.6257	0.99271
GOMC	117000	-8039.036107905613	-8819.808661125595	-8038.956619735267	-579.38	25630.6257	0.98973
NAMD	117000	-8038.0713	-8819.8282	-8038.9546	-617.4288	25630.6257	0.9897303607114046
NAMD	119500	-8023.5259	-8878.7303	-8026.011599999999	271.2457	25630.6257	0.9897303607114046
GOMC	119500	-8025.920559798584	-8878.629907181365	-8025.920559798585	167.75	25630.6257	0.98973
GOMC	120000	-8022.542312558894	-8879.226068458956	-8022.562184601481	170.44	25630.6257	0.98766
NAMD	120000	-8021.1247	-8879.3097	-8022.6182	228.7132	25630.6257	0.9876571656586596
NAMD	122500	-8067.5252	-8895.4526	-8071.7397	-206.8109	25630.6257	0.9876571656586596
GOMC	122500	-8071.8249781731865	-8895.52114337981	-8071.8249781731865	-197.18	25630.6257	0.98766
GOMC	123000	-8080.966117762935	-8895.918584231538	-8080.886629592588	-234.82	25630.6257	0.99181
NAMD	123000	-8076.5422	-8895.7706	-8080.7208	-256.6752	25630.6257	0.9918035557641497
NAMD	125500	-7991.3080	-8778.1974	-7995.2357999999995	-306.0614	25630.6257	0.9918035557641497
GOMC	125500	-7995.118893789651	-8778.077371694138	-7995.138765832238	-346.22	25630.6257	0.99181
GOMC	126000	-7995.118893789651	-8778.077371694138	-7995.039405619305	-266.27	25630.6257	0.99388
NAMD	126000	-7991.3753	-8778.3384	-7995.2919	-246.6479	25630.6257	0.9938767508168949
NAMD	128500	-8057.9139	-8879.0001	-8060.2862	-55.7003	25630.6257	0.9938767508168949
GOMC	128500	-8060.696634324799	-8879.226068458956	-8060.537657984108	-210.16	25630.6257	0.99388
GOMC	129000	-8067.453128804177	-8887.771046771111	-8067.512744931936	-225.46	25630.6257	0.99297
NAMD	129000	-8065.1209	-8887.4757	-8067.206600000001	-69.8389	25630.6257	0.9929697279813189
NAMD	131500	-8039.8439	-8851.4532	-8042.3749	-161.7608	25630.6257	0.9929697279813189
GOMC	131500	-8042.414355145303	-8851.603929263849	-8042.5335874008215	-119.03	25630.6257	0.99297
GOMC	132000	-8049.767010902274	-8857.56554203977	-8049.747138859687	-105.68	25630.6257	0.99414
NAMD	132000	-8047.4250	-8857.5441	-8049.706099999999	-146.2449	25630.6257	0.9941423789330278
NAMD	134500	-8105.9147	-9037.2592	-8109.4817	736.7177	25630.6257	0.9941423789330278
GOMC	134500	-8109.581859087362	-9037.208807020903	-8109.442754789258	823.49	25630.6257	0.99414
GOMC	135000	-8106.4023322735375	-9037.407527446767	-8106.521564529056	799.17	25630.6257	0.99207
NAMD	135000	-8103.1221	-9037.3165	-8106.405000000001	681.5695	25630.6257	0.9920691838802828
NAMD	137500	-8071.9133	-8863.7118	-8074.293399999999	-448.3277	25630.6257	0.9920691838802828
