#STEP	TOTAL	INTRA(B)	INTRA(NB)	INTER(LJ)	LRC	TOTAL_ELECT	REAL	RECIP	SELF	CORR	ENTHALPY	PRESSURE	COMPRESSIBILITY	ENTHALPY	TOTALMOL	MOLFRAC_TIP3	MOLFRAC_DIOX	MOLDENS_TIP3	MOLDENS_DIOX	TOT_DENSITY
41500	-4030900.0	0.0	0.0	408420.0	0.0	-4439300.0	-4169100.0	19190.0	-23029000.0	22740000.0	-49.92	-39.501	-0.02816	-39.971	840.0	0.985714286	0.0142857143	0.0323051029	0.000468189898	991.28
42000	-4030500.0	0.0	0.0	408900.0	0.0	-4439400.0	-4169200.0	19201.0	-23029000.0	22740000.0	-43.695	-14.978	-0.010678	-39.922	840.0	0.985714286	0.0142857143	0.0323051029	0.000468189898	991.28
44500	-4063100.0	0.0	0.0	435750.0	0.0	-4498900.0	-4230600.0	21144.0	-23029000.0	22740000.0	11.196	202.66	0.14448	-39.845	840.0	0.985714286	0.0142857143	0.0323051029	0.000468189898	991.28
45000	-4064300.0	0.0	0.0	432980.0	0.0	-4497300.0	-4228800.0	20937.0	-23029000.0	22740000.0	25.066	257.61	0.18322	-39.661	842.0	0.983372922	0.0166270784	0.0323051029	0.000546221547	995.43
47500	-4041900.0	0.0	0.0	417100.0	0.0	-4459000.0	-4189000.0	19394.0	-23029000.0	22740000.0	-4.9644	138.08	0.098208	-39.66	842.0	0.983372922	0.0166270784	0.0323051029	0.000546221547	995.43
48000	-4038800.0	0.0	0.0	416160.0	0.0	-4455000.0	-4184700.0	18825.0	-23002000.0	22712000.0	0.12105	158.06	0.11241	-39.592	842.0	0.982185273	0.0178147268	0.0322660871	0.000585237372	996.34
50500	-4043200.0	0.0	0.0	437270.0	0.0	-4480400.0	-4210300.0	18942.0	-23002000.0	22712000.0	74.45	451.91	0.3214	-39.097	842.0	0.982185273	0.0178147268	0.0322660871	0.000585237372	996.34
51000	-4037800.0	0.0	0.0	442400.0	0.0	-4480200.0	-4210200.0	18974.0	-23001000.0	22712000.0	61.645	400.24	0.28567	-39.278	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	990.12
53500	-4030300.0	0.0	0.0	424630.0	0.0	-4454900.0	-4183300.0	17438.0	-23001000.0	22712000.0	10.576	198.88	0.14195	-39.574	839.0	0.985697259	0.0143027414	0.0322660871	0.000468189898	990.12
54000	-4033600.0	0.0	0.0	424770.0	0.0	-4458400.0	-4186600.0	17619.0	-23029000.0	22740000.0	-6.7924	130.63	0.093241	-39.733	839.0	0.986889154	0.0131108462	0.0323051029	0.000429174073	989.21
56500	-4056600.0	0.0	0.0	389750.0	0.0	-4446300.0	-4176000.0	19032.0	-23029000.0	22740000.0	-256.1	-849.99	-0.60669	-41.764	839.0	0.986889154	0.0131108462	0.0323051029	0.000429174073	989.21
57000	-4067900.0	0.0	0.0	386590.0	0.0	-4454500.0	-4183700.0	19268.0	-23085000.0	22795000.0	-262.09	-876.83	-0.62362	-41.777	842.0	0.985748219	0.0142517815	0.0323831346	0.000468189898	993.62
59500	-4049100.0	0.0	0.0	392720.0	0.0	-4441800.0	-4169200.0	17480.0	-23085000.0	22795000.0	-173.85	-528.92	-0.37618	-40.953	842.0	0.985748219	0.0142517815	0.0323831346	0.000468189898	993.62
60000	-4050000.0	0.0	0.0	396390.0	0.0	-4446400.0	-4173900.0	17964.0	-23113000.0	22822000.0	-175.47	-534.47	-0.38058	-41.021	841.0	0.988109394	0.0118906064	0.0324221504	0.000390158248	990.64
62500	-4069800.0	0.0	0.0	442020.0	0.0	-4511800.0	-4239800.0	18369.0	-23113000.0	22822000.0	30.45	278.96	0.19863	-39.724	841.0	0.988109394	0.0118906064	0.0324221504	0.000390158248	990.64
63000	-4066200.0	0.0	0.0	440530.0	0.0	-4506800.0	-4235000.0	18346.0	-23085000.0	22795000.0	40.03	316.62	0.22545	-39.619	841.0	0.986920333	0.0130796671	0.0323831346	0.000429174073	991.54
65500	-4052200.0	0.0	0.0	433280.0	0.0	-4485500.0	-4216800.0	21400.0	-23085000.0	22795000.0	11.783	204.6	0.14569	-39.686	841.0	0.986920333	0.0130796671	0.0323831346	0.000429174073	991.54
66000	-4050600.0	0.0	0.0	429960.0	0.0	-4480500.0	-4212400.0	21570.0	-23057000.0	22767000.0	19.145	233.68	0.1662	-39.57	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	994.52
68500	-4057400.0	0.0	0.0	434360.0	0.0	-4491800.0	-4219600.0	17590.0	-23057000.0	22767000.0	50.716	358.69	0.25511	-39.408	842.0	0.98456057	0.0154394299	0.0323441188	0.000507205722	994.52
69000	-4057900.0	0.0	0.0	433910.0	0.0	-4491800.0	-4219600.0	17583.0	-23057000.0	22767000.0	65.008	415.48	0.29515	-39.262	843.0	0.983392645	0.0166073547	0.0323441188	0.000546221547	996.6
71500	-4038400.0	0.0	0.0	411450.0	0.0	-4449900.0	-4179800.0	19630.0	-23057000.0	22767000.0	-29.303	41.645	0.029583	-39.755	843.0	0.983392645	0.0166073547	0.0323441188	0.000546221547	996.6
72000	-4046100.0	0.0	0.0	409400.0	0.0	-4455500.0	-4184900.0	19527.0	-23085000.0	22795000.0	-49.389	-37.743	-0.02678	-39.928	844.0	0.983412322	0.0165876777	0.0323831346	0.000546221547	997.76
74500	-4055700.0	0.0	0.0	418450.0	0.0	-4474200.0	-4204000.0	19912.0	-23085000.0	22795000.0	-17.78	87.821	0.062312	-39.793	844.0	0.983412322	0.0165876777	0.0323831346	0.000546221547	997.76
75000	-4061900.0	0.0	0.0	417370.0	0.0	-4479300.0	-4208800.0	20017.0	-23113000.0	22822000.0	-2.2004	149.74	0.106	-39.647	846.0	0.982269504	0.0177304965	0.0324221504	0.000585237372	1001.0
77500	-4041700.0	0.0	0.0	389580.0	0.0	-4431300.0	-4160900.0	20040.0	-23113000.0	22822000.0	-104.72	-258.05	-0.18266	-40.193	846.0	0.982269504	0.0177304965	0.0324221504	0.000585237372	1001.0
78000	-4035800.0	0.0	0.0	397050.0	0.0	-4432900.0	-4162100.0	19649.0	-23113000.0	22822000.0	-98.995	-234.14	-0.16633	-40.234	843.0	0.985765125	0.0142348754	0.0324221504	0.000468189898	994.78
80500	-4047200.0	0.0	0.0	417790.0	0.0	-4465000.0	-4192900.0	18316.0	-23113000.0	22822000.0	-18.405	85.1	0.060453	-39.761	843.0	0.985765125	0.0142348754	0.0324221504	0.000468189898	994.78
81000	-4044700.0	0.0	0.0	420230.0	0.0	-4464900.0	-4192800.0	18333.0	-23113000.0	22822000.0	-14.827	99.224	0.07057	-39.758	842.0	0.986935867	0.013064133	0.0324221504	0.000429174073	992.71
83500	-4077800.0	0.0	0.0	415470.0	0.0	-4493300.0	-4221800.0	18980.0	-23113000.0	22822000.0	-105.06	-255.99	-0.18207	-40.736	842.0	0.986935867	0.013064133	0.0324221504	0.000429174073	992.71
84000	-4082200.0	0.0	0.0	415280.0	0.0	-4497500.0	-4225900.0	19261.0	-23141000.0	22850000.0	-93.952	-212.83	-0.15101	-40.604	844.0	0.985781991	0.0142180095	0.0324611662	0.000468189898	995.95
86500	-4078200.0	0.0	0.0	405030.0	0.0	-4483300.0	-4210500.0	18041.0	-23141000.0	22850000.0	-141.21	-400.14	-0.28391	-40.908	844.0	0.985781991	0.0142180095	0.0324611662	0.000468189898	995.95
87000	-4083000.0	0.0	0.0	404180.0	0.0	-4487200.0	-4214600.0	18563.0	-23168000.0	22877000.0	-124.18	-333.67	-0.23619	-40.736	846.0	0.98463357	0.0153664303	0.0325001821	0.000507205722	999.19
89500	-4063400.0	0.0	0.0	446310.0	0.0	-4509700.0	-4235400.0	16828.0	-23168000.0	22877000.0	114.41	612.75	0.43374	-38.817	846.0	0.98463357	0.0153664303	0.0325001821	0.000507205722	999.19
90000	-4060900.0	0.0	0.0	442870.0	0.0	-4503800.0	-4229800.0	16782.0	-23141000.0	22850000.0	124.77	654.34	0.46263	-38.671	847.0	0.982290437	0.0177095632	0.0324611662	0.000585237372	1002.2
92500	-4045000.0	0.0	0.0	383440.0	0.0	-4428400.0	-4156100.0	18477.0	-23141000.0	22850000.0	-120.11	-319.58	-0.22595	-40.289	847.0	0.982290437	0.0177095632	0.0324611662	0.000585237372	1002.2
93000	-4041700.0	0.0	0.0	386630.0	0.0	-4428400.0	-4156000.0	18439.0	-23141000.0	22850000.0	-133.25	-370.65	-0.26268	-40.446	845.0	0.984615385	0.0153846154	0.0324611662	0.000507205722	998.02
95500	-4077100.0	0.0	0.0	414370.0	0.0	-4491500.0	-4220400.0	19756.0	-23141000.0	22850000.0	-66.479	-104.53	-0.074079	-40.308	845.0	0.984615385	0.0153846154	0.0324611662	0.000507205722	998.02
96000	-4081900.0	0.0	0.0	413280.0	0.0	-4495200.0	-4223500.0	19408.0	-23168000.0	22877000.0	-32.705	29.116	0.020562	-39.969	848.0	0.982311321	0.0176886792	0.0325001821	0.000585237372	1003.3
98500	-4045100.0	0.0	0.0	363910.0	0.0	-4409000.0	-4137200.0	19397.0	-23168000.0	22877000.0	-229.02	-753.52	-0.53213	-41.032	848.0	0.982311321	0.0176886792	0.0325001821	0.000585237372	1003.3
99000	-4038300.0	0.0	0.0	370650.0	0.0	-4408900.0	-4137100.0	19314.0	-23168000.0	22877000.0	-245.5	-814.73	-0.57807	-41.272	844.0	0.986966825	0.0130331754	0.0325001821	0.000429174073	995.05
101500	-4057300.0	0.0	0.0	411680.0	0.0	-4469000.0	-4198000.0	20085.0	-23168000.0	22877000.0	-77.391	-148.2	-0.10516	-40.241	844.0	0.986966825	0.0130331754	0.0325001821	0.000429174073	995.05
102000	-4061900.0	0.0	0.0	409160.0	0.0	-4471000.0	-4199900.0	20023.0	-23168000.0	22877000.0	-81.378	-164.2	-0.11637	-40.267	845.0	0.985798817	0.0142011834	0.0325001821	0.000468189898	997.12
104500	-4038000.0	0.0	0.0	388360.0	0.0	-4426400.0	-4155800.0	20621.0	-23168000.0	22877000.0	-150.45	-439.01	-0.31112	-40.534	845.0	0.985798817	0.0142011834	0.0325001821	0.000468189898	997.12
105000	-4031300.0	0.0	0.0	388900.0	0.0	-4420200.0	-4149800.0	20033.0	-23113000.0	22822000.0	-143.99	-412.98	-0.29302	-40.469	844.0	0.984597156	0.0154028436	0.0324221504	0.000507205722	996.86
107500	-4067600.0	0.0	0.0	415290.0	0.0	-4482900.0	-4210800.0	18312.0	-23113000.0	22822000.0	-68.764	-113.64	-0.080629	-40.279	844.0	0.984597156	0.0154028436	0.0324221504	0.000507205722	996.86
108000	-4069800.0	0.0	0.0	416530.0	0.0	-4486300.0	-4213900.0	18439.0	-23141000.0	22850000.0	-86.281	-182.53	-0.12966	-40.474	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
110500	-4064600.0	0.0	0.0	381480.0	0.0	-4446000.0	-4172200.0	16955.0	-23141000.0	22850000.0	-232.96	-762.96	-0.54199	-41.486	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
111000	-4062500.0	0.0	0.0	383530.0	0.0	-4446100.0	-4172200.0	16938.0	-23140000.0	22850000.0	-231.37	-755.66	-0.53744	-41.501	842.0	0.988123515	0.0118764846	0.0324611662	0.000390158248	991.81
113500	-4074000.0	0.0	0.0	381230.0	0.0	-4455200.0	-4180600.0	16180.0	-23140000.0	22850000.0	-261.01	-872.31	-0.6204	-41.828	842.0	0.988123515	0.0118764846	0.0324611662	0.000390158248	991.81
114000	-4071200.0	0.0	0.0	379600.0	0.0	-4450800.0	-4176600.0	16258.0	-23113000.0	22822000.0	-257.47	-858.44	-0.61054	-41.775	842.0	0.986935867	0.013064133	0.0324221504	0.000429174073	992.71
116500	-4043100.0	0.0	0.0	391700.0	0.0	-4434800.0	-4161900.0	17469.0	-23113000.0	22822000.0	-164.37	-491.68	-0.34969	-40.826	842.0	0.986935867	0.013064133	0.0324221504	0.000429174073	992.71
117000	-4045400.0	0.0	0.0	392940.0	0.0	-4438300.0	-4165000.0	17452.0	-23140000.0	22850000.0	-186.81	-579.38	-0.41256	-41.057	841.0	0.989298454	0.0107015458	0.0324611662	0.000351142423	989.73
119500	-4038800.0	0.0	0.0	429100.0	0.0	-4467900.0	-4194100.0	16954.0	-23140000.0	22850000.0	2.5776	167.75	0.11945	-39.622	841.0	0.989298454	0.0107015458	0.0324611662	0.000351142423	989.73
120000	-4037100.0	0.0	0.0	431090.0	0.0	-4468200.0	-4194500.0	17026.0	-23140000.0	22850000.0	3.2787	170.44	0.12151	-39.647	840.0	0.99047619	0.00952380952	0.0324611662	0.000312126598	987.66
122500	-4061900.0	0.0	0.0	414500.0	0.0	-4476400.0	-4203600.0	17974.0	-23140000.0	22850000.0	-90.23	-197.18	-0.14057	-40.568	840.0	0.99047619	0.00952380952	0.0324611662	0.000312126598	987.66
123000	-4066500.0	0.0	0.0	410140.0	0.0	-4476600.0	-4203800.0	17961.0	-23140000.0	22850000.0	-99.586	-234.82	-0.16701	-40.585	842.0	0.988123515	0.0118764846	0.0324611662	0.000390158248	991.81
125500	-4023300.0	0.0	0.0	393990.0	0.0	-4417300.0	-4141300.0	14799.0	-23140000.0	22850000.0	-127.36	-346.22	-0.24624	-40.363	842.0	0.988123515	0.0118764846	0.0324611662	0.000390158248	991.81
126000	-4023300.0	0.0	0.0	394040.0	0.0	-4417300.0	-4141300.0	14784.0	-23141000.0	22850000.0	-106.99	-266.27	-0.18915	-40.169	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
128500	-4056300.0	0.0	0.0	411980.0	0.0	-4468200.0	-4197300.0	19879.0	-23141000.0	22850000.0	-93.132	-210.16	-0.14929	-40.391	843.0	0.986951364	0.0130486358	0.0324611662	0.000429174073	993.88
